HOG	OG	Gene Tree Parent Clade	crotalus_tigris	hydrophis_curtus-AG	hydrophis_curtus	hydrophis_cyanocinctus	hydrophis_elegans	hydrophis_major	hydrophis_ornatus	notechis_scutatus	pantherophis_guttatus	protobothrops_mucrosquamatus	pseudonaja_textilis	python_bivittatus	thamnophis_elegans
N2.HOG0003194	OG0001921	n0	rna-XM_039339711.1									rna-XM_015820333.1			
N2.HOG0003195	OG0001922	n0	rna-XM_039339722.1									rna-XM_015820223.1, rna-XM_015820235.1			
N2.HOG0003196	OG0001923	n0	rna-XM_039325165.1									rna-XM_015832354.1			
N2.HOG0003197	OG0001924	n0	rna-XM_039358867.1									rna-XM_015830888.1, rna-XM_029284723.1			
N2.HOG0003198	OG0001925	n0	rna-XM_039358869.1									rna-XM_015819166.2, rna-XM_029287153.1			
N2.HOG0003199	OG0001926	n0	rna-XM_039359174.1									rna-XM_015824217.1, rna-XM_015829767.2			
N2.HOG0003200	OG0001927	n0	rna-XM_039359364.1									rna-XM_015825590.1, rna-XM_015824220.1			
N2.HOG0003201	OG0001928	n0	rna-XM_039359298.1, rna-XM_039359357.1									rna-XM_015831290.1, rna-XM_015825591.1			
N2.HOG0003202	OG0001929	n0	rna-XM_039359285.1									rna-XM_015828584.1, rna-XM_029285437.1			
N2.HOG0003203	OG0001930	n0	rna-XM_039359350.1									rna-XM_015827691.1, rna-XM_015815279.1			
N2.HOG0003204	OG0001931	n0	rna-XM_039359253.1									rna-XM_015815288.2, rna-XM_015830020.1			
N2.HOG0003205	OG0001932	n2										rna-XM_015826775.1			
N2.HOG0003206	OG0001932	n3	rna-XM_039359028.1									rna-XM_015832244.1			
N2.HOG0003207	OG0001933	n0	rna-XM_039359032.1									rna-XM_015826774.1, rna-XM_015829256.1, rna-XM_029287349.1			
N2.HOG0003208	OG0001934	n6	rna-XM_039359341.1									rna-XM_015832236.1			
N2.HOG0003209	OG0001934	n8										rna-XM_015822606.1			
N2.HOG0003210	OG0001935	n0	rna-XM_039321158.1									rna-XM_015828847.2, rna-XM_015827555.2			
N2.HOG0003211	OG0001936	n0	rna-XM_039321107.1									rna-XM_015818623.1			
N2.HOG0003212	OG0001937	n0	rna-XM_039321200.1									rna-XM_029284622.1			
N2.HOG0003213	OG0001938	n0	rna-XM_039355740.1									rna-XM_015831210.2, rna-XM_015831170.2			
N2.HOG0003214	OG0001939	n0	rna-XM_039323844.1, rna-XM_039355734.1									rna-XM_015814544.1			
N2.HOG0003215	OG0001940	n0	rna-XM_039341511.1									rna-XM_029286759.1			
N2.HOG0003216	OG0001941	n6	rna-XM_039359595.1, rna-XM_039326518.1									rna-XM_015814499.1			
N2.HOG0003217	OG0001942	n1	rna-XM_039344059.1									rna-XM_015812801.2			
N2.HOG0003218	OG0001943	n0	rna-XM_039325006.1									rna-XM_015827527.1, rna-XM_015824017.1			
N2.HOG0003219	OG0001944	n0	rna-XM_039338811.1, rna-XM_039322792.1									rna-XM_029283757.1			
N2.HOG0003220	OG0001945	n0	rna-XM_039324293.1, rna-XM_039367065.1									rna-XM_015832541.1			
N2.HOG0003221	OG0001946	n0	rna-XM_039343878.1									rna-XM_015823843.1, rna-XM_015820753.1			
N2.HOG0003222	OG0001947	n0	rna-XM_039318612.1									rna-XM_015822018.1			
N2.HOG0003223	OG0001948	n0	rna-XM_039370032.1									rna-XM_015826625.2			
N2.HOG0003224	OG0001949	n0	rna-XM_039370043.1									rna-XM_015826623.1, rna-XM_015826622.1			
N2.HOG0003225	OG0001950	n0	rna-XM_039342754.1									rna-XM_015818006.1, rna-XM_029287105.1			
N2.HOG0003226	OG0001951	n0	rna-XM_039346380.1, rna-XM_039327327.1, rna-XM_039348076.1									rna-XM_015829049.1			
N2.HOG0003227	OG0001952	n0	rna-XM_039346408.1									rna-XM_015816955.2			
N2.HOG0003228	OG0001953	n0	rna-XM_039333038.1									rna-XM_029283634.1			
N2.HOG0003229	OG0001954	n0	rna-XM_039349693.1									rna-XM_029283598.1			
N2.HOG0003230	OG0001955	n0	rna-XM_039349698.1									rna-XM_029283597.1			
N2.HOG0003231	OG0001956	n0	rna-XM_039349636.1									rna-XM_015828411.2			
N2.HOG0003232	OG0001957	n0	rna-XM_039349828.1									rna-XM_029284742.1			
N2.HOG0003233	OG0001958	n0	rna-XM_039344559.1									rna-XM_015818786.1			
N2.HOG0003234	OG0001959	n0	rna-XM_039344564.1, rna-XM_039370056.1									rna-XM_015818782.1			
N2.HOG0003235	OG0001960	n0	rna-XM_039320332.1									rna-XM_029286278.1			
N2.HOG0003236	OG0001961	n0	rna-XM_039325107.1, rna-XM_039325113.1, rna-XM_039363704.1									rna-XM_015826669.1			
N2.HOG0003237	OG0001962	n0	rna-XM_039325032.1									rna-XM_029286269.1			
N2.HOG0003238	OG0001963	n0	rna-XM_039325073.1									rna-XM_029285060.1			
N2.HOG0003239	OG0001964	n0	rna-XM_039325092.1									rna-XM_029284984.1			
N2.HOG0003240	OG0001965	n0	rna-XM_039369799.1									rna-XM_029286838.1			
N2.HOG0003241	OG0001966	n0	rna-XM_039369796.1, rna-XM_039362225.1									rna-XM_015829697.1, rna-XM_029286593.1			
N2.HOG0003242	OG0001967	n0	rna-XM_039333535.1									rna-XM_015830722.1, rna-XM_015829939.1			
N2.HOG0003243	OG0001968	n0	rna-XM_039333616.1									rna-XM_015828852.1, rna-XM_015825095.1			
N2.HOG0003244	OG0001969	n0	rna-XM_039333737.1									rna-XM_015813828.2			
N2.HOG0003245	OG0001970	n0	rna-XM_039333661.1									rna-XM_015823431.1			
N2.HOG0003246	OG0001971	n0	rna-XM_039337654.1									rna-XM_015824442.2, rna-XM_015829466.1			
N2.HOG0003247	OG0001972	n0	rna-XM_039369748.1									rna-XM_015828334.1			
N2.HOG0003248	OG0001973	n0	rna-XM_039369737.1									rna-XM_015828335.2			
N2.HOG0003249	OG0001974	n0	rna-XM_039321257.1									rna-XM_015828500.1			
N2.HOG0003250	OG0001975	n0	rna-XM_039364530.1, rna-XM_039356169.1, rna-XM_039364451.1									rna-XM_015820619.1			
N2.HOG0003251	OG0001976	n4	rna-XM_039369898.1												
N2.HOG0003252	OG0001976	n6	rna-XM_039369900.1												
N2.HOG0003253	OG0001977	n9	rna-XM_039326937.1									rna-XM_015827361.1			
N2.HOG0003254	OG0001978	n0	rna-XM_039326936.1									rna-XM_015826647.1			
N2.HOG0003255	OG0001979	n0	rna-XM_039355883.1									rna-XM_015815490.1			
N2.HOG0003256	OG0001980	n0	rna-XM_039366508.1									rna-XM_029285370.1			
N2.HOG0003257	OG0001981	n0	rna-XM_039334163.1									rna-XM_015811169.1, rna-XM_015830574.1			
N2.HOG0003258	OG0001982	n0	rna-XM_039355227.1									rna-XM_029284300.1			
N2.HOG0003259	OG0001983	n0	rna-XM_039369752.1									rna-XM_015828014.1			
N2.HOG0003260	OG0001984	n0	rna-XM_039369768.1									rna-XM_015828015.2			
N2.HOG0003261	OG0001985	n0	rna-XM_039369762.1									rna-XM_015826770.2, rna-XM_015829096.1			
N2.HOG0003262	OG0001986	n0	rna-XM_039369759.1									rna-XM_015826772.2			
N2.HOG0003263	OG0001987	n0	rna-XM_039369776.1									rna-XM_015828987.1, rna-XM_015830081.1			
N2.HOG0003264	OG0001988	n0	rna-XM_039346905.1									rna-XM_015823633.1			
N2.HOG0003265	OG0001989	n0	rna-XM_039347055.1									rna-XM_015823631.1			
N2.HOG0003266	OG0001990	n0	rna-XM_039368957.1									rna-XM_015820823.1			
N2.HOG0003267	OG0001991	n4	rna-XM_039339932.1									rna-XM_015810993.1			
N2.HOG0003268	OG0001992	n0	rna-XM_039340079.1									rna-XM_029283146.1			
N2.HOG0003269	OG0001993	n0	rna-XM_039340096.1									rna-XM_015811004.1			
N2.HOG0003270	OG0001994	n0	rna-XM_039340103.1									rna-XM_015811031.2			
N2.HOG0003271	OG0001995	n0	rna-XM_039334741.1									rna-XM_029282979.1			
N2.HOG0003272	OG0001996	n0	rna-XM_039364520.1, rna-XM_039332940.1									rna-XM_015823968.1			
N2.HOG0003273	OG0001997	n0	rna-XM_039320367.1									rna-XM_015830842.1, rna-XM_015823323.2			
N2.HOG0003274	OG0001998	n0	rna-XM_039332432.1									rna-XM_015826973.2			
N2.HOG0003275	OG0001999	n0	rna-XM_039332405.1									rna-XM_015822561.1			
N2.HOG0003276	OG0002000	n0	rna-XM_039332348.1									rna-XM_015822562.1			
N2.HOG0003277	OG0002001	n0	rna-XM_039332290.1									rna-XM_015822567.1			
N2.HOG0003278	OG0002002	n0	rna-XM_039332419.1									rna-XM_015822475.1			
N2.HOG0003279	OG0002003	n0	rna-XM_039332420.1									rna-XM_015822497.1, rna-XM_015830715.1			
N2.HOG0003280	OG0002004	n0	rna-XM_039343825.1									rna-XM_015828942.1, rna-XM_015828943.1			
N2.HOG0003281	OG0002005	n0	rna-XM_039343835.1									rna-XM_015816297.2, rna-XM_015830935.1			
N2.HOG0003282	OG0002006	n0	rna-XM_039359712.1, rna-XM_039348171.1									rna-XM_015821957.1			
N2.HOG0003283	OG0002007	n0	rna-XM_039328890.1									rna-XM_015821995.1, rna-XM_015830896.1			
N2.HOG0003284	OG0002008	n0	rna-XM_039352531.1									rna-XM_015814623.1			
N2.HOG0003285	OG0002009	n0	rna-XM_039320687.1									rna-XM_029283917.1			
N2.HOG0003286	OG0002010	n0	rna-XM_039355318.1, rna-XM_039332820.1									rna-XM_015826070.1			
N2.HOG0003287	OG0002011	n0	rna-XM_039362404.1, rna-XM_039335656.1, rna-XM_039335655.1									rna-XM_015826564.2			
N2.HOG0003288	OG0002012	n0	rna-XM_039355170.1									rna-XM_015830063.1, rna-XM_015827547.1			
N2.HOG0003289	OG0002013	n0	rna-XM_039335790.1									rna-XM_015812775.1			
N2.HOG0003290	OG0002014	n0	rna-XM_039364637.1, rna-XM_039367062.1, rna-XM_039364641.1									rna-XM_015817114.1			
N2.HOG0003291	OG0002015	n0	rna-XM_039357900.1									rna-XM_029283780.1			
N2.HOG0003292	OG0002016	n0	rna-XM_039362857.1									rna-XM_015821353.1			
N2.HOG0003293	OG0002017	n0	rna-XM_039347863.1									rna-XM_015827491.1			
N2.HOG0003294	OG0002018	n0	rna-XM_039347949.1									rna-XM_029284402.1			
N2.HOG0003295	OG0002019	n0	rna-XM_039348220.1									rna-XM_015817294.2			
N2.HOG0003296	OG0002020	n2	rna-XM_039327691.1									rna-XM_029284602.1			
N2.HOG0003297	OG0002020	n4	rna-XM_039348691.1												
N2.HOG0003298	OG0002021	n0	rna-XM_039367198.1, rna-XM_039367212.1, rna-XM_039349286.1									rna-XM_015825490.1			
N2.HOG0003299	OG0002022	n8	rna-XM_039368183.1, rna-XM_039359910.1									rna-XM_015817397.1			
N2.HOG0003300	OG0002023	n0	rna-XM_039362289.1									rna-XM_029284211.1			
N2.HOG0003301	OG0002024	n0	rna-XM_039362291.1									rna-XM_029284210.1			
N2.HOG0003302	OG0002025	n0	rna-XM_039366390.1, rna-XM_039355681.1									rna-XM_015822389.1, rna-XM_015822390.1			
N2.HOG0003303	OG0002026	n0	rna-XM_039366391.1									rna-XM_015828948.1, rna-XM_029285966.1			
N2.HOG0003304	OG0002027	n0	rna-XM_039324394.1									rna-XM_015828974.1, rna-XM_015830347.1			
N2.HOG0003305	OG0002028	n0	rna-XM_039324417.1												
N2.HOG0003306	OG0002029	n0	rna-XM_039324393.1									rna-XM_029286297.1			
N2.HOG0003307	OG0002030	n0	rna-XM_039324349.1									rna-XM_015826187.1, rna-XM_015826733.1			
N2.HOG0003308	OG0002031	n0	rna-XM_039324351.1									rna-XM_015826206.1, rna-XM_015830717.1			
N2.HOG0003309	OG0002032	n0	rna-XM_039324416.1									rna-XM_029286156.1			
N2.HOG0003310	OG0002033	n0	rna-XM_039324426.1									rna-XM_029286158.1			
N2.HOG0003311	OG0002034	n0	rna-XM_039333387.1									rna-XM_015814179.1			
N2.HOG0003312	OG0002035	n0	rna-XM_039334025.1									rna-XM_029284416.1, rna-XM_015817331.1			
N2.HOG0003313	OG0002036	n0	rna-XM_039334044.1									rna-XM_015817328.1, rna-XM_015817896.1			
N2.HOG0003314	OG0002037	n0	rna-XM_039334071.1									rna-XM_015817887.1			
N2.HOG0003315	OG0002038	n0	rna-XM_039347630.1									rna-XM_015823812.2			
N2.HOG0003316	OG0002039	n0	rna-XM_039364187.1									rna-XM_029285083.1			
N2.HOG0003317	OG0002040	n0	rna-XM_039364208.1									rna-XM_015824597.1			
N2.HOG0003318	OG0002041	n0	rna-XM_039364173.1									rna-XM_029286010.1			
N2.HOG0003319	OG0002042	n4	rna-XM_039340396.1									rna-XM_015822832.1			
N2.HOG0003320	OG0002042	n9	rna-XM_039320101.1												
N2.HOG0003321	OG0002043	n0	rna-XM_039358270.1									rna-XM_029285075.1			
N2.HOG0003322	OG0002044	n0	rna-XM_039318940.1, rna-XM_039352042.1									rna-XM_015828088.1			
N2.HOG0003323	OG0002045	n0	rna-XM_039346369.1									rna-XM_015816432.1, rna-XM_015829568.1			
N2.HOG0003324	OG0002046	n0	rna-XM_039360714.1									rna-XM_015823113.1, rna-XM_015822982.1			
N2.HOG0003325	OG0002047	n0	rna-XM_039360801.1									rna-XM_015826342.1			
N2.HOG0003326	OG0002048	n0	rna-XM_039360273.1									rna-XM_029286260.1			
N2.HOG0003327	OG0002049	n0	rna-XM_039360335.1									rna-XM_029285089.1			
N2.HOG0003328	OG0002050	n0	rna-XM_039360337.1									rna-XM_015821160.1, rna-XM_029287018.1			
N2.HOG0003329	OG0002051	n0	rna-XM_039360736.1									rna-XM_015821158.2			
N2.HOG0003330	OG0002052	n0	rna-XM_039360615.1									rna-XM_015821146.1			
N2.HOG0003331	OG0002053	n0	rna-XM_039360353.1									rna-XM_015820772.1			
N2.HOG0003332	OG0002054	n0	rna-XM_039360793.1									rna-XM_015819529.1			
N2.HOG0003333	OG0002055	n0	rna-XM_039360571.1									rna-XM_029284780.1			
N2.HOG0003334	OG0002056	n8	rna-XM_039360254.1									rna-XM_015811947.1			
N2.HOG0003335	OG0002057	n0	rna-XM_039365882.1									rna-XM_015827643.1, rna-XM_029286525.1			
N2.HOG0003336	OG0002058	n0	rna-XM_039336237.1									rna-XM_029283820.1			
N2.HOG0003337	OG0002059	n0	rna-XM_039336264.1									rna-XM_015823228.1			
N2.HOG0003338	OG0002060	n0	rna-XM_039320213.1									rna-XM_015825945.2			
N2.HOG0003339	OG0002061	n0	rna-XM_039365705.1									rna-XM_015828890.1			
N2.HOG0003340	OG0002062	n4										rna-XM_015824391.1			
N2.HOG0003341	OG0002062	n6	rna-XM_039328633.1									rna-XM_015826347.1			
N2.HOG0003342	OG0002063	n0	rna-XM_039319093.1									rna-XM_015815554.2			
N2.HOG0003343	OG0002064	n2	rna-XM_039319160.1									rna-XM_015818001.1			
N2.HOG0003344	OG0002065	n0	rna-XM_039348894.1, rna-XM_039347006.1									rna-XM_015819790.1			
N2.HOG0003345	OG0002066	n8	rna-XM_039355354.1									rna-XM_015814308.2			
N2.HOG0003346	OG0002066	n9	rna-XM_039355353.1									rna-XM_015814296.2			
N2.HOG0003347	OG0002067	n0	rna-XM_039346544.1									rna-XM_015823479.1			
N2.HOG0003348	OG0002068	n0	rna-XM_039326403.1									rna-XM_015812329.1			
N2.HOG0003349	OG0002069	n0	rna-XM_039326384.1									rna-XM_029283410.1			
N2.HOG0003350	OG0002070	n0	rna-XM_039362277.1									rna-XM_015819279.2, rna-XM_015817505.1, rna-XM_015819278.1			
N2.HOG0003351	OG0002071	n0	rna-XM_039337353.1									rna-XM_015819883.1			
N2.HOG0003352	OG0002072	n0	rna-XM_039337355.1									rna-XM_029284867.1			
N2.HOG0003353	OG0002073	n0	rna-XM_039349083.1									rna-XM_015823780.1			
N2.HOG0003354	OG0002074	n0	rna-XM_039347214.1									rna-XM_015829713.1, rna-XM_015831702.1			
N2.HOG0003355	OG0002075	n0	rna-XM_039361956.1									rna-XM_015820684.1			
N2.HOG0003356	OG0002076	n0	rna-XM_039362117.1									rna-XM_029284980.1			
N2.HOG0003357	OG0002077	n0	rna-XM_039361928.1												
N2.HOG0003358	OG0002078	n3	rna-XM_039361865.1									rna-XM_015813885.1			
N2.HOG0003359	OG0002078	n4	rna-XM_039361871.1									rna-XM_015813874.1, rna-XM_015813878.1			
N2.HOG0003360	OG0002079	n0	rna-XM_039361997.1									rna-XM_015818587.1			
N2.HOG0003361	OG0002080	n0	rna-XM_039339764.1									rna-XM_015829268.1			
N2.HOG0003362	OG0002081	n0	rna-XM_039339774.1									rna-XM_015829302.1			
N2.HOG0003363	OG0002082	n0	rna-XM_039323910.1									rna-XM_015815937.1			
N2.HOG0003364	OG0002083	n0	rna-XM_039323931.1									rna-XM_015825431.2, rna-XM_029286926.1			
N2.HOG0003365	OG0002084	n0	rna-XM_039354616.1									rna-XM_015813027.1, rna-XM_015820981.1			
N2.HOG0003366	OG0002085	n0	rna-XM_039364372.1									rna-XM_015829149.1, rna-XM_015829052.2			
N2.HOG0003367	OG0002086	n0	rna-XM_039364361.1									rna-XM_015822376.1			
N2.HOG0003368	OG0002087	n0	rna-XM_039369830.1, rna-XM_039323523.1									rna-XM_015812499.1, rna-XM_029283443.1			
N2.HOG0003369	OG0002088	n0	rna-XM_039364733.1									rna-XM_015826094.1			
N2.HOG0003370	OG0002089	n0	rna-XM_039364728.1									rna-XM_015828361.1, rna-XM_015828362.1			
N2.HOG0003371	OG0002090	n0	rna-XM_039364740.1									rna-XM_029284053.1			
N2.HOG0003372	OG0002091	n0	rna-XM_039368359.1, rna-XM_039319386.1									rna-XM_029283737.1			
N2.HOG0003373	OG0002092	n0	rna-XM_039354022.1									rna-XM_015829365.1, rna-XM_015829463.1			
N2.HOG0003374	OG0002093	n0	rna-XM_039325971.1									rna-XM_015827126.1			
N2.HOG0003375	OG0002094	n0	rna-XM_039325998.1									rna-XM_029283379.1			
N2.HOG0003376	OG0002095	n0	rna-XM_039326038.1									rna-XM_015811598.1			
N2.HOG0003377	OG0002096	n0	rna-XM_039369193.1									rna-XM_015824573.1			
N2.HOG0003378	OG0002097	n0	rna-XM_039369214.1									rna-XM_015824581.1			
N2.HOG0003379	OG0002098	n0	rna-XM_039369213.1, rna-XM_039363430.1									rna-XM_015823105.2			
N2.HOG0003380	OG0002099	n0	rna-XM_039321312.1									rna-XM_029285670.1, rna-XM_029286988.1			
N2.HOG0003381	OG0002100	n2										rna-XM_029284343.1			
N2.HOG0003382	OG0002100	n12	rna-XM_039321409.1									rna-XM_015817044.1			
N2.HOG0003383	OG0002100	n13	rna-XM_039321357.1									rna-XM_015817045.1			
N2.HOG0003384	OG0002101	n0	rna-XM_039321393.1									rna-XM_015826500.1			
N2.HOG0003385	OG0002102	n0	rna-XM_039329730.1									rna-XM_015822487.1, rna-XM_015830843.1			
N2.HOG0003386	OG0002103	n0	rna-XM_039357603.1												
N2.HOG0003387	OG0002104	n0	rna-XM_039356365.1									rna-XM_015818886.1			
N2.HOG0003388	OG0002105	n0	rna-XM_039344084.1									rna-XM_015812024.1			
N2.HOG0003389	OG0002106	n0	rna-XM_039345231.1									rna-XM_015815362.1, rna-XM_015813833.1			
N2.HOG0003390	OG0002107	n0	rna-XM_039364277.1									rna-XM_015817424.2			
N2.HOG0003391	OG0002108	n1	rna-XM_039367121.1									rna-XM_029284374.1			
N2.HOG0003392	OG0002108	n3	rna-XM_039367063.1												
N2.HOG0003393	OG0002109	n0	rna-XM_039323976.1									rna-XM_015827204.1, rna-XM_015827202.1			
N2.HOG0003394	OG0002110	n0	rna-XM_039319027.1									rna-XM_015827819.1			
N2.HOG0003395	OG0002111	n0	rna-XM_039361557.1									rna-XM_015825963.1			
N2.HOG0003396	OG0002112	n0	rna-XM_039361525.1									rna-XM_015827859.1			
N2.HOG0003397	OG0002113	n0	rna-XM_039352417.1									rna-XM_015824661.1			
N2.HOG0003398	OG0002114	n0	rna-XM_039352473.1									rna-XM_015824660.1			
N2.HOG0003399	OG0002115	n0	rna-XM_039339038.1									rna-XM_015818521.1			
N2.HOG0003400	OG0002116	n0	rna-XM_039326983.1									rna-XM_015826417.1			
N2.HOG0003401	OG0002117	n0	rna-XM_039326982.1									rna-XM_015826418.1			
N2.HOG0003402	OG0002118	n0	rna-XM_039360012.1									rna-XM_029285334.1, rna-XM_029286497.1			
N2.HOG0003403	OG0002119	n0	rna-XM_039364327.1, rna-XM_039368819.1, rna-XM_039365677.1									rna-XM_015820984.1			
N2.HOG0003404	OG0002120	n0	rna-XM_039327415.1									rna-XM_015819284.1			
N2.HOG0003405	OG0002121	n0	rna-XM_039368220.1									rna-XM_015826744.1, rna-XM_015828101.1			
N2.HOG0003406	OG0002122	n0	rna-XM_039341754.1, rna-XM_039329825.1									rna-XM_015812887.1			
N2.HOG0003407	OG0002123	n0	rna-XM_039363932.1									rna-XM_015810435.1			
N2.HOG0003408	OG0002124	n0	rna-XM_039342010.1									rna-XM_015810620.1, rna-XM_015825713.2			
N2.HOG0003409	OG0002125	n2										rna-XM_015825712.1			
N2.HOG0003410	OG0002125	n3	rna-XM_039342024.1									rna-XM_015810616.1			
N2.HOG0003411	OG0002126	n0	rna-XM_039342038.1									rna-XM_015810584.1			
N2.HOG0003412	OG0002127	n0	rna-XM_039346482.1									rna-XM_029286005.1			
N2.HOG0003413	OG0002128	n3	rna-XM_039355285.1									rna-XM_029284724.1			
N2.HOG0003414	OG0002129	n0	rna-XM_039335420.1									rna-XM_015820316.1			
N2.HOG0003415	OG0002130	n0	rna-XM_039361181.1, rna-XM_039342816.1									rna-XM_015832359.2			
N2.HOG0003416	OG0002131	n0	rna-XM_039342934.1									rna-XM_029285207.1			
N2.HOG0003417	OG0002132	n0	rna-XM_039326822.1									rna-XM_029283533.1			
N2.HOG0003418	OG0002133	n0	rna-XM_039326849.1									rna-XM_029283536.1			
N2.HOG0003419	OG0002134	n0	rna-XM_039326755.1									rna-XM_015830099.2, rna-XM_015822900.1			
N2.HOG0003420	OG0002135	n0	rna-XM_039355447.1									rna-XM_015821390.1			
N2.HOG0003421	OG0002136	n0	rna-XM_039355499.1									rna-XM_015824252.1, rna-XM_015829829.1			
N2.HOG0003422	OG0002137	n0	rna-XM_039355771.1									rna-XM_015811772.1, rna-XM_029283300.1			
N2.HOG0003423	OG0002138	n8	rna-XM_039331965.1, rna-XM_039331963.1									rna-XM_015821918.2			
N2.HOG0003424	OG0002139	n2	rna-XM_039332024.1									rna-XM_029285451.1			
N2.HOG0003425	OG0002139	n3	rna-XM_039332004.1									rna-XM_015822894.2			
N2.HOG0003426	OG0002140	n0	rna-XM_039343526.1									rna-XM_029285721.1			
N2.HOG0003427	OG0002141	n0	rna-XM_039322822.1									rna-XM_029285298.1			
N2.HOG0003428	OG0002142	n0	rna-XM_039321268.1, rna-XM_039368734.1									rna-XM_015814762.2, rna-XM_015829377.1			
N2.HOG0003429	OG0002143	n0	rna-XM_039318793.1									rna-XM_015823077.1, rna-XM_029284801.1			
N2.HOG0003430	OG0002144	n0	rna-XM_039319057.1									rna-XM_015830112.1, rna-XM_015819561.1			
N2.HOG0003431	OG0002145	n0	rna-XM_039319535.1									rna-XM_029283454.1, rna-XM_015814120.1			
N2.HOG0003432	OG0002146	n0	rna-XM_039369571.1												
N2.HOG0003433	OG0002147	n0	rna-XM_039365367.1									rna-XM_015812706.1			
N2.HOG0003434	OG0002148	n0	rna-XM_039365364.1, rna-XM_039324603.1									rna-XM_015824757.1			
N2.HOG0003435	OG0002149	n0	rna-XM_039324596.1, rna-XM_039365371.1									rna-XM_015810770.1			
N2.HOG0003436	OG0002151	n0	rna-XM_039349527.1									rna-XM_029283116.1			
N2.HOG0003437	OG0002152	n0	rna-XM_039345576.1, rna-XM_039323558.1									rna-XM_015825618.1			
N2.HOG0003438	OG0002153	n0	rna-XM_039348432.1									rna-XM_015830166.1, rna-XM_015830050.1			
N2.HOG0003439	OG0002154	n0	rna-XM_039348438.1									rna-XM_015816032.1			
N2.HOG0003440	OG0002155	n0	rna-XM_039328963.1									rna-XM_015831169.2			
N2.HOG0003441	OG0002156	n0	rna-XM_039328941.1									rna-XM_015831048.1, rna-XM_015823565.2			
N2.HOG0003442	OG0002157	n0	rna-XM_039332498.1									rna-XM_015824746.1			
N2.HOG0003443	OG0002158	n0	rna-XM_039332485.1									rna-XM_015827068.1			
N2.HOG0003444	OG0002159	n0	rna-XM_039332641.1									rna-XM_015829460.1, rna-XM_015827067.1			
N2.HOG0003445	OG0002160	n0	rna-XM_039332625.1									rna-XM_015828258.1			
N2.HOG0003446	OG0002161	n0	rna-XM_039332667.1									rna-XM_015817455.2			
N2.HOG0003447	OG0002162	n0	rna-XM_039332701.1									rna-XM_015817467.1			
N2.HOG0003448	OG0002163	n0	rna-XM_039332656.1									rna-XM_015817465.1			
N2.HOG0003449	OG0002164	n0	rna-XM_039332556.1									rna-XM_015817458.1			
N2.HOG0003450	OG0002165	n0	rna-XM_039332610.1									rna-XM_015817446.1			
N2.HOG0003451	OG0002166	n0	rna-XM_039332664.1									rna-XM_015813628.2			
N2.HOG0003452	OG0002167	n2										rna-XM_015822286.1			
N2.HOG0003453	OG0002167	n4	rna-XM_039352492.1									rna-XM_015811493.1			
N2.HOG0003454	OG0002168	n0	rna-XM_039362294.1									rna-XM_015829481.2			
N2.HOG0003455	OG0002169	n0	rna-XM_039340392.1									rna-XM_015822507.1			
N2.HOG0003456	OG0002170	n0	rna-XM_039340418.1									rna-XM_029287299.1, rna-XM_029287296.1			
N2.HOG0003457	OG0002171	n9	rna-XM_039355644.1									rna-XM_015824484.1			
N2.HOG0003458	OG0002172	n0	rna-XM_039347014.1, rna-XM_039337109.1									rna-XM_015825710.1, rna-XM_029285066.1			
N2.HOG0003459	OG0002173	n0	rna-XM_039318653.1									rna-XM_015831411.1			
N2.HOG0003460	OG0002174	n0	rna-XM_039337498.1									rna-XM_015822535.1			
N2.HOG0003461	OG0002175	n0	rna-XM_039337513.1									rna-XM_015822537.1			
N2.HOG0003462	OG0002176	n0	rna-XM_039337518.1									rna-XM_015822538.1			
N2.HOG0003463	OG0002177	n0	rna-XM_039337519.1									rna-XM_015822536.1			
N2.HOG0003464	OG0002178	n0	rna-XM_039337521.1									rna-XM_015822539.2			
N2.HOG0003465	OG0002179	n0	rna-XM_039337500.1									rna-XM_015830359.1			
N2.HOG0003466	OG0002180	n0	rna-XM_039337587.1									rna-XM_015830263.1, rna-XM_015830273.1			
N2.HOG0003467	OG0002181	n0	rna-XM_039337626.1									rna-XM_015817989.1			
N2.HOG0003468	OG0002182	n0	rna-XM_039327833.1, rna-XM_039327903.1									rna-XM_015828972.2			
N2.HOG0003469	OG0002183	n0	rna-XM_039339060.1									rna-XM_015815542.1, rna-XM_015831179.1			
N2.HOG0003470	OG0002184	n0	rna-XM_039344148.1									rna-XM_015830320.1, rna-XM_015825998.1			
N2.HOG0003471	OG0002185	n0	rna-XM_039347295.1, rna-XM_039361617.1									rna-XM_029286419.1, rna-XM_015813503.1			
N2.HOG0003472	OG0002186	n0	rna-XM_039347301.1									rna-XM_015828630.1, rna-XM_015813486.1			
N2.HOG0003473	OG0002187	n0	rna-XM_039346754.1									rna-XM_015810781.1			
N2.HOG0003474	OG0002188	n0	rna-XM_039353397.1									rna-XM_015819945.1, rna-XM_015825131.1			
N2.HOG0003475	OG0002189	n0	rna-XM_039362807.1, rna-XM_039354433.1									rna-XM_015814420.1			
N2.HOG0003476	OG0002190	n0	rna-XM_039354446.1, rna-XM_039355901.1									rna-XM_015831089.1, rna-XM_015830373.1			
N2.HOG0003477	OG0002191	n0	rna-XM_039348588.1, rna-XM_039369881.1									rna-XM_015811483.1			
N2.HOG0003478	OG0002192	n1										rna-XM_015830576.1			
