accession,GO
Q9DGG6,GO:0016021; GO:0005887; GO:0004016; GO:0005524; GO:0046872; GO:0071880; GO:0007189; GO:0006171; GO:0035556
P35611,GO:0005912; GO:0005737; GO:0005856; GO:0005829; GO:0008290; GO:0005925; GO:0016604; GO:0005654; GO:0005634; GO:0005886; GO:0014069; GO:0003779; GO:0051015; GO:0045296; GO:0005516; GO:0046982; GO:0042803; GO:0003723; GO:0061629; GO:0030507; GO:0030036; GO:0051017; GO:0051016; GO:0071277; GO:1903393; GO:1903142; GO:0032092
Q63028,GO:0005912; GO:0005737; GO:0005856; GO:0030425; GO:0043197; GO:0008290; GO:0016020; GO:0005634; GO:0048471; GO:0005886; GO:0014069; GO:0045202; GO:0051015; GO:0005516; GO:0046982; GO:0042803; GO:0061629; GO:0030507; GO:0005200; GO:0042608; GO:0051017; GO:0051016; GO:0000902; GO:0006884; GO:0071277; GO:0071300; GO:0007010; GO:0030218; GO:0020027; GO:0048873; GO:0001701; GO:0006811; GO:0035264; GO:0030837; GO:1903393; GO:0045766; GO:0045807; GO:1903142; GO:0032092
Q9UEY8,GO:0005903; GO:0005938; GO:0005911; GO:0000794; GO:0005856; GO:0005829; GO:0016020; GO:0005886; GO:0014069; GO:0051015; GO:0005516; GO:0005200; GO:0051016
P25406,GO:0005737; GO:0004022; GO:0008270
P80512,GO:0005737; GO:0004022; GO:0008270
P80467,GO:0005737; GO:0004022; GO:0106322; GO:0106321; GO:0008270; GO:0006069
Q8CJG1,GO:0005737; GO:0036464; GO:0005829; GO:0005634; GO:0000932; GO:0005844; GO:1990904; GO:0016442; GO:0070578; GO:0001046; GO:0003725; GO:0035198; GO:0003723; GO:0000978; GO:0000993; GO:0003727; GO:0000976; GO:0010586; GO:0035196; GO:0035278; GO:0016525; GO:0000956; GO:0010628; GO:1901224; GO:0045944; GO:0031054; GO:0070922; GO:0010501
Q9UKV8,GO:0005737; GO:0036464; GO:0005829; GO:0030425; GO:0070062; GO:0016020; GO:0005845; GO:0005654; GO:0005634; GO:0000932; GO:0005844; GO:1990904; GO:0016442; GO:0070578; GO:0001046; GO:0003725; GO:0004521; GO:0090624; GO:0070551; GO:0046872; GO:0035198; GO:0098808; GO:0008022; GO:0000340; GO:0003723; GO:0000993; GO:0003727; GO:0035197; GO:0003743; GO:0031047; GO:0010586; GO:0035196; GO:0035278; GO:0035279; GO:0042985; GO:0045947; GO:0045766; GO:0010628; GO:1900153; GO:0060213; GO:0045944; GO:1901165; GO:0009791; GO:0035194; GO:0031054; GO:0070922; GO:0010501; GO:0030422; GO:0090625; GO:0006412
Q8CJG0,GO:0005737; GO:0036464; GO:0005829; GO:0030425; GO:0070062; GO:0005739; GO:0005845; GO:0005634; GO:0000932; GO:0005844; GO:1990904; GO:0016442; GO:0070578; GO:0001046; GO:0003725; GO:0004521; GO:0090624; GO:0070551; GO:0046872; GO:0035198; GO:0003729; GO:0098808; GO:0008022; GO:0000340; GO:0003723; GO:0000993; GO:0003727; GO:0035197; GO:0030154; GO:0031047; GO:0010586; GO:0035196; GO:0035278; GO:0035279; GO:0042985; GO:0045947; GO:0045766; GO:0010628; GO:1900153; GO:0060213; GO:0045944; GO:1901165; GO:0009791; GO:0031054; GO:0070922; GO:0010501; GO:0030422; GO:0090625
Q9H9G7,GO:0000794; GO:0005737; GO:0036464; GO:0005829; GO:0016020; GO:0005654; GO:0000932; GO:0016442; GO:0070578; GO:0003725; GO:0004521; GO:0090624; GO:0046872; GO:0035198; GO:0003723; GO:0003727; GO:0035196; GO:0035278; GO:0006402; GO:0010628; GO:1901224; GO:0031054; GO:0072091; GO:0070922; GO:0010501
Q5ZMW0,GO:0000932; GO:0016442; GO:0004521; GO:0035198; GO:0003723; GO:0003727; GO:0035278; GO:0006402
Q9HCK5,GO:0005737; GO:0036464; GO:0005829; GO:0016020; GO:0005634; GO:0000932; GO:0016442; GO:0070578; GO:0003725; GO:0004521; GO:0035198; GO:0003723; GO:0003727; GO:0008584; GO:0007140; GO:0010586; GO:0035196; GO:0035278; GO:0006402; GO:0043066; GO:0031054; GO:0022604; GO:0070922; GO:0010501; GO:0007130
Q8R3W7,GO:0005783; GO:0043231; GO:0002162; GO:0060548
O60242,GO:0016021; GO:0005887; GO:0005886; GO:0098794; GO:0043083; GO:0004930; GO:0005096; GO:0007189; GO:0007166; GO:0007186; GO:0099558; GO:0061743; GO:0007520; GO:0016525; GO:0016322; GO:0051965; GO:0048814
Q80ZF8,GO:0005887; GO:0005886; GO:0098794; GO:0043083; GO:0004930; GO:0005096; GO:0007189; GO:0007166; GO:0099558; GO:0061743; GO:0007520; GO:0016525; GO:0016322; GO:0051965; GO:0048814
O97831,GO:0070161; GO:0030424; GO:0005615; GO:0030426; GO:0016021; GO:0043005; GO:0005886; GO:0042734; GO:0045202; GO:0030246; GO:0050839; GO:0004930; GO:0016524; GO:0035584; GO:0007166; GO:0007157; GO:0090129; GO:0007165
O94910,GO:0070161; GO:0030424; GO:0030426; GO:0016021; GO:0005887; GO:0043005; GO:0005886; GO:0014069; GO:0042734; GO:0045202; GO:0030246; GO:0050839; GO:0004930; GO:0016524; GO:0007189; GO:0035584; GO:0007166; GO:0007186; GO:0007157; GO:0090129
Q80TR1,GO:0070161; GO:0030424; GO:0098978; GO:0030426; GO:0005887; GO:0099056; GO:0043005; GO:0005886; GO:0014069; GO:0042734; GO:0045202; GO:0030246; GO:0050839; GO:0004930; GO:0016524; GO:0015643; GO:0007189; GO:0035584; GO:0007166; GO:0007157; GO:0051965; GO:0090129
O97817,GO:0005615; GO:0016021; GO:0030246; GO:0004930; GO:0007166; GO:0007165
O95490,GO:0016021; GO:0005887; GO:0043005; GO:0030246; GO:0004930; GO:0016524; GO:0007189; GO:0007420; GO:0007166; GO:0007186
O97827,GO:0030424; GO:0005911; GO:0005615; GO:0005887; GO:0005509; GO:0030246; GO:0004930; GO:0007166; GO:0098742; GO:0001764; GO:0007165; GO:0007416
Q9HAR2,GO:0030424; GO:0005911; GO:0098978; GO:0016021; GO:0005887; GO:0005509; GO:0030246; GO:0004930; GO:0007189; GO:0007420; GO:0007166; GO:0098742; GO:0007186; GO:0001764; GO:0007416
Q80TS3,GO:0030424; GO:0005911; GO:0098978; GO:0005887; GO:0005509; GO:0030246; GO:0004930; GO:0007189; GO:0007420; GO:0007166; GO:0098742; GO:0031987; GO:0001764; GO:0051965; GO:0042220; GO:0007416; GO:0050808
Q75W64,GO:0005737; GO:0005634; GO:0004126; GO:0008270; GO:0009972; GO:0080111; GO:0006397; GO:0090310; GO:0016446
Q8C4Q6,GO:0005737; GO:0016020; GO:0035091; GO:0019904; GO:0048264; GO:0009953; GO:2000016; GO:0046329; GO:0043508; GO:0031333; GO:0043254
Q9EQX4,GO:0015629; GO:0005884; GO:0005737; GO:0005925; GO:0032991; GO:0032587; GO:0051015; GO:0005509; GO:0051017; GO:0097178
O95831,GO:0005737; GO:0005829; GO:0005743; GO:0005758; GO:0005739; GO:0005634; GO:0048471; GO:0003677; GO:0071949; GO:0016174; GO:0003954; GO:0016651; GO:0046983; GO:0006919; GO:0006915; GO:1904045; GO:0071392; GO:0070301; GO:0071732; GO:0090650; GO:0030261; GO:0070059; GO:0033108; GO:0032981; GO:0051402; GO:0030182; GO:0043065; GO:0043525; GO:0012501; GO:0045041; GO:1902510; GO:0002931; GO:1902065; GO:0009636
Q9H6U8,GO:0005789; GO:0016021; GO:0016020; GO:0000026; GO:0052926; GO:0052918; GO:0000030; GO:0006488; GO:0006487
Q8VDI9,GO:0005789; GO:0016021; GO:0000026; GO:0052926; GO:0052918; GO:0000030; GO:0006487
Q15699,GO:0000785; GO:0005794; GO:0016604; GO:0005654; GO:0005634; GO:0001228; GO:0000981; GO:0000977; GO:1990837; GO:0048704; GO:0000122; GO:0045892; GO:0001755; GO:0010718; GO:0045944; GO:0045893; GO:0006357
Q8C8B0,GO:0005794; GO:0016604; GO:0005654; GO:0005634; GO:0005667; GO:0001228; GO:0003700; GO:0000981; GO:0042803; GO:0000977; GO:0043565; GO:1990837; GO:0009952; GO:0030326; GO:0048704; GO:0014031; GO:0000122; GO:0045892; GO:0001755; GO:0001843; GO:0010718; GO:0045944; GO:0045893; GO:0006357; GO:0060021; GO:0048864
Q8JZZ6,GO:0005634
Q5RDQ3,
Q9UKV5,GO:0005829; GO:0030425; GO:0036513; GO:0005783; GO:0005789; GO:0044322; GO:0005794; GO:0030426; GO:0030176; GO:0016021; GO:0016020; GO:0043025; GO:0005634; GO:0048471; GO:0032991; GO:0000151; GO:1904288; GO:0051087; GO:0042802; GO:0046872; GO:0030674; GO:0038023; GO:0043130; GO:0061630; GO:0004842; GO:1990381; GO:0034450; GO:0007568; GO:1904380; GO:0030968; GO:0007611; GO:0090090; GO:0032092; GO:0051865; GO:0070936; GO:0000209; GO:0016567; GO:2000638; GO:0007165; GO:0030433; GO:0006511; GO:0016055
Q9R049,GO:0005829; GO:0030425; GO:0036513; GO:0005783; GO:0005789; GO:0005794; GO:0030426; GO:0030176; GO:0005887; GO:0043025; GO:0005634; GO:0048471; GO:0032991; GO:0000151; GO:1904288; GO:0051087; GO:0042802; GO:0046872; GO:0000166; GO:0030674; GO:0038023; GO:0043130; GO:0061630; GO:0004842; GO:1990381; GO:0034450; GO:0007568; GO:0030968; GO:0007611; GO:0090090; GO:0032092; GO:0051865; GO:0070936; GO:0000209; GO:0016567; GO:2000638; GO:0030433; GO:0006511; GO:0016055
O00170,GO:0034751; GO:0005737; GO:0005829; GO:0016020; GO:0005654; GO:0017162; GO:0036004; GO:0003755; GO:0003713; GO:0051082; GO:0051344; GO:0022417; GO:0006626; GO:0010738; GO:0006805
O08915,GO:0034751; GO:0005829; GO:0016020; GO:0005886; GO:0017162; GO:0036004; GO:0003755; GO:0003712; GO:0051082; GO:0051344; GO:0022417; GO:0006626; GO:0010738; GO:0006805
Q5ZK84,GO:0016324; GO:0005829; GO:0004032; GO:0046185; GO:0110095; GO:0006629
Q9P2G1,GO:0005737; GO:0000151; GO:0046872; GO:0031624; GO:0061630; GO:0032436; GO:0000209; GO:0006511
Q53H80,GO:0000785; GO:0005737; GO:0016020; GO:0005654; GO:0005634; GO:0017053; GO:0019899; GO:0042802; GO:0030674; GO:0003712; GO:0002250; GO:0021987; GO:0042742; GO:0009792; GO:0045087; GO:0010629; GO:0000122; GO:0071630; GO:0002821; GO:0050871; GO:0008284; GO:0010950; GO:0045089; GO:0032755; GO:0045944; GO:0031144; GO:0006606; GO:0051147; GO:0032496
Q90655,GO:0005634; GO:0003677; GO:0000981; GO:0000978; GO:0045892; GO:0006357
P31749,GO:0005911; GO:0036064; GO:0005737; GO:0005829; GO:0031234; GO:0030027; GO:0015630; GO:0005739; GO:0005654; GO:0005634; GO:0005886; GO:0098794; GO:0032991; GO:0005819; GO:0031982; GO:0071889; GO:0005524; GO:0005516; GO:0019899; GO:0042802; GO:0016301; GO:0030235; GO:0005547; GO:0043325; GO:0099104; GO:0042803; GO:0004672; GO:0019901; GO:0106310; GO:0004674; GO:0004712; GO:0006924; GO:0043276; GO:0008637; GO:0048266; GO:0008643; GO:0030154; GO:0002042; GO:0008283; GO:0071276; GO:0036294; GO:0071364; GO:0097011; GO:0032869; GO:1990090; GO:0140052; GO:0071380; GO:0034614; GO:0071356; GO:0035924; GO:0019221; GO:0007173; GO:0072655; GO:0060079; GO:0097194; GO:0010761; GO:0007186; GO:0010467; GO:0007281; GO:0042593; GO:0006006; GO:0005978; GO:0060709; GO:0007249; GO:0006954; GO:0008286; GO:0048009; GO:0035655; GO:0035556; GO:0060716; GO:0031663; GO:0072656; GO:0060644; GO:0001893; GO:0043066; GO:0010507; GO:0043154; GO:0010951; GO:2001240; GO:0031999; GO:0010629; GO:1903038; GO:0010748; GO:2000402; GO:0016242; GO:1901215; GO:0045746; GO:1902176; GO:0032091; GO:0006469; GO:0100002; GO:0071901; GO:0031397; GO:0045861; GO:0090201; GO:0038061; GO:0006809; GO:0001649; GO:0018105; GO:0018107; GO:0032287; GO:0014065; GO:0016310; GO:0043536; GO:0030307; GO:0008284; GO:0045737; GO:0051091; GO:0032079; GO:0010595; GO:0001938; GO:0045600; GO:0010763; GO:1900087; GO:0010628; GO:0046326; GO:0010907; GO:0045725; GO:1903721; GO:0046889; GO:0010918; GO:0045429; GO:0051000; GO:0046622; GO:0033138; GO:0032436; GO:2000010; GO:1900182; GO:1903078; GO:0051247; GO:0001934; GO:0048661; GO:0010765; GO:0045944; GO:0045893; GO:0043161; GO:0046777; GO:0006606; GO:0043491; GO:0006468; GO:0016567; GO:0042981; GO:0030334; GO:0005979; GO:0043488; GO:0031641; GO:0010975; GO:1901796; GO:0006417; GO:2000074; GO:0034405; GO:0032094; GO:0070848; GO:0060416; GO:0009408; GO:1990418; GO:0006979; GO:0070141; GO:0007165; GO:0003376; GO:0051146; GO:0031295; GO:0031929
P31751,GO:0005938; GO:0005829; GO:0005769; GO:0043231; GO:0005654; GO:0005634; GO:0005886; GO:0032991; GO:0032587; GO:0005524; GO:0046872; GO:0106310; GO:0004674; GO:0090630; GO:0008643; GO:0071486; GO:0032869; GO:0045444; GO:0006006; GO:0005978; GO:0008286; GO:0065002; GO:0035556; GO:0060644; GO:0043066; GO:0010748; GO:0018105; GO:0032287; GO:0030335; GO:2000147; GO:0008284; GO:0032000; GO:0046326; GO:0010907; GO:0045725; GO:0010918; GO:0001934; GO:0090314; GO:0031340; GO:0072659; GO:0036211; GO:0051726; GO:0030334; GO:0006417; GO:0097473; GO:0007165
Q60823,GO:0005938; GO:0005829; GO:0005769; GO:0032593; GO:0043231; GO:0005739; GO:0005654; GO:0005634; GO:0005886; GO:0032991; GO:0032587; GO:0016529; GO:0031982; GO:0005524; GO:0046872; GO:0004672; GO:0005080; GO:0106310; GO:0004674; GO:0090630; GO:0008643; GO:0071486; GO:0032869; GO:0071407; GO:0006006; GO:0005978; GO:0008286; GO:0065002; GO:0035556; GO:0043066; GO:0043154; GO:0010748; GO:0033119; GO:0018105; GO:0032287; GO:0030335; GO:2000147; GO:0008284; GO:0032000; GO:0010628; GO:0046326; GO:0010907; GO:0045725; GO:0010918; GO:0045429; GO:0033138; GO:0050927; GO:0001934; GO:0090314; GO:0009967; GO:0010765; GO:0045944; GO:0031340; GO:0043491; GO:0072659; GO:0006468; GO:0006417; GO:0032868; GO:0097473
Q9Y243,GO:0005737; GO:0016020; GO:0005634; GO:0005524; GO:0004672; GO:0106310; GO:0004674; GO:0048854; GO:0048873; GO:0035556; GO:0000002; GO:2000773; GO:0018105; GO:0045766; GO:1905653; GO:0043536; GO:0090050; GO:0045793; GO:0001938; GO:0032008; GO:1905564; GO:0006468; GO:0007165
Q5ZJJ5,GO:0005829; GO:0070695; GO:0005634; GO:0005886; GO:0061631; GO:0006915; GO:0045022; GO:0007032; GO:0008333; GO:0007040; GO:0000209; GO:0015031
P31748,GO:0005524; GO:0106310; GO:0004674; GO:0043491; GO:0006468; GO:0060416; GO:1990418
P48644,GO:0030424; GO:0005829; GO:0045202; GO:0106373; GO:0004029; GO:0019145; GO:0018479; GO:0043878; GO:0051287; GO:0001758; GO:0110095; GO:0030392; GO:0009449; GO:0036438; GO:0001523; GO:0042572
P27463,GO:0030424; GO:0005829; GO:0045202; GO:0106373; GO:0004029; GO:0019145; GO:0018479; GO:0043878; GO:0001758; GO:0110095; GO:0030392; GO:0009449; GO:0001523; GO:0042572
O93344,GO:0005737; GO:0004029; GO:0004745; GO:0001758; GO:0001947; GO:0003007; GO:0010628; GO:0051289; GO:0002138; GO:0042572; GO:0021522
P47895,GO:0005737; GO:0005829; GO:0070062; GO:0004029; GO:0004030; GO:0070403; GO:0042803; GO:0001758; GO:0070324; GO:0006915; GO:0031076; GO:0048048; GO:0060324; GO:0070384; GO:0042472; GO:0007626; GO:0050885; GO:0021768; GO:0060166; GO:0002072; GO:0043065; GO:0051289; GO:0042574; GO:0002138; GO:0042573; GO:0042572; GO:0060013
Q3SY69,GO:0070062; GO:0005759; GO:0005739; GO:0005654; GO:0004029; GO:0016155; GO:0016742; GO:0009258; GO:0009058; GO:0006635; GO:0046655; GO:0006740; GO:0006730
P30038,GO:0005829; GO:0005759; GO:0005739; GO:0003842; GO:0004029; GO:0009055; GO:0042802; GO:0019470; GO:0006562; GO:0010133; GO:0006560
Q8CHT0,GO:0005829; GO:0005759; GO:0005739; GO:0003842; GO:0004029; GO:0042802; GO:0010133
P0C2X9,GO:0005759; GO:0003842; GO:0004029; GO:0042802; GO:0010133
Q2KJC9,GO:0005829; GO:0005739; GO:0005634; GO:0004029; GO:0008802; GO:0043878; GO:0042802; GO:0004043; GO:0019285
Q2KJH9,GO:0005829; GO:0047105; GO:0004029; GO:0019145; GO:0043878; GO:0045329; GO:0006081; GO:0042136; GO:0051289
Q8TD30,GO:0005759; GO:0004021; GO:0030170; GO:0006103; GO:0009058; GO:0042853; GO:0042851
P81178,GO:0005759; GO:0005739; GO:0004029; GO:0052689; GO:0043878; GO:0051287; GO:0018547; GO:0008957; GO:0046185; GO:0006068; GO:1903179; GO:1905627
Q5RF00,GO:0005759; GO:0005739; GO:0004029; GO:0052689; GO:0043878; GO:0018547; GO:0008957; GO:0046185; GO:1903179; GO:1905627
P11884,GO:0005759; GO:0005739; GO:0004029; GO:0052689; GO:0043878; GO:0042802; GO:0070404; GO:0018547; GO:0008957; GO:0006117; GO:0046185; GO:0008637; GO:0048149; GO:0110095; GO:0071398; GO:0032870; GO:1904639; GO:0006068; GO:0006067; GO:0008631; GO:0001889; GO:0043066; GO:1903179; GO:0050727; GO:2000377; GO:1902882; GO:1905627; GO:0032355; GO:0045471; GO:0009408; GO:0055093; GO:0002931; GO:0032496; GO:0035094; GO:0014070; GO:0032570; GO:0033574
P04075,GO:0015629; GO:0005829; GO:0070062; GO:0005576; GO:0005615; GO:1904813; GO:0031674; GO:0031430; GO:0016020; GO:0005634; GO:0031093; GO:0034774; GO:0061827; GO:1904724; GO:0003779; GO:0045296; GO:0008092; GO:0070061; GO:0004332; GO:0042802; GO:0003723; GO:0015631; GO:0007015; GO:0006754; GO:0007339; GO:0030388; GO:0006000; GO:0006096; GO:0046716; GO:0051289; GO:0008360; GO:0006941
P05065,GO:0015629; GO:0005737; GO:0005829; GO:0070062; GO:0000792; GO:0031430; GO:0016020; GO:0005739; GO:0005886; GO:0032991; GO:0035686; GO:0061827; GO:0030018; GO:0008092; GO:0070061; GO:0004332; GO:0042802; GO:0002020; GO:0006754; GO:0007339; GO:0061621; GO:0030388; GO:0006000; GO:0006096; GO:0019242; GO:0046716; GO:0030335; GO:0051289; GO:0008360; GO:0043627; GO:0009408; GO:0001666; GO:0032496; GO:0035094; GO:0006941
P07341,GO:0034451; GO:0005829; GO:0070062; GO:0005815; GO:0051117; GO:0008092; GO:0070061; GO:0061609; GO:0004332; GO:0042802; GO:0030388; GO:0061624; GO:0006000; GO:0006094; GO:0006096; GO:0001889; GO:0006116; GO:0032781; GO:0070072
Q9GKW3,GO:0004332; GO:0030388; GO:0006096
Q5R1X4,GO:0004332; GO:0030388; GO:0006096
O95841,GO:0062023; GO:0070062; GO:0005615; GO:0005102; GO:0007169
Q9R045,GO:0062023; GO:0005615; GO:0005102
Q15389,GO:0062023; GO:0070062; GO:0005576; GO:0005615; GO:0045121; GO:0005902; GO:0005886; GO:0042802; GO:0030971; GO:0005102; GO:0007171; GO:0001525; GO:0030154; GO:0031589; GO:0072012; GO:0030097; GO:0030210; GO:0001701; GO:0043066; GO:0007162; GO:0002719; GO:2000352; GO:0043524; GO:0042308; GO:0001933; GO:0043116; GO:0051402; GO:0050918; GO:0043536; GO:1905605; GO:0045785; GO:0010595; GO:0070374; GO:0010628; GO:0033138; GO:0050731; GO:0014068; GO:0051897; GO:0001934; GO:0031398; GO:0002092; GO:0034394; GO:0043122; GO:2000446; GO:0043393; GO:0014842; GO:0032680; GO:0002040; GO:0048014
O15123,GO:0042995; GO:0062023; GO:0005576; GO:0005615; GO:0005634; GO:0005886; GO:0046872; GO:0030971; GO:0005102; GO:0001525; GO:0031100; GO:0071363; GO:0010467; GO:0007281; GO:0072012; GO:0060135; GO:0016525; GO:0043537; GO:0010812; GO:0050928; GO:0045766; GO:0014823; GO:0009749; GO:0001666; GO:0009612; GO:0014070; GO:0009314; GO:0007165; GO:0048014
Q9BDY7,GO:0062023; GO:0005615; GO:0046872; GO:0030971; GO:0005102; GO:0001525; GO:0030154; GO:0048014
P16157,GO:0016323; GO:0009898; GO:0005856; GO:0005829; GO:0031430; GO:0043005; GO:0005886; GO:0016529; GO:0014731; GO:0051117; GO:0008093; GO:0019899; GO:0019903; GO:0030507; GO:0005200; GO:0005198; GO:0044325; GO:0007010; GO:0006888; GO:0006887; GO:0045199; GO:0072659; GO:0007165
Q12955,GO:0043194; GO:0009925; GO:0016323; GO:0009986; GO:0043034; GO:0005829; GO:0030425; GO:0005783; GO:0005794; GO:0014704; GO:0016328; GO:0005764; GO:0031594; GO:0043005; GO:0033268; GO:0005886; GO:0045211; GO:0042383; GO:0016529; GO:0014731; GO:0030315; GO:0030018; GO:0045296; GO:0008093; GO:0008092; GO:0030674; GO:0030507; GO:0005200; GO:0044325; GO:0007409; GO:0071286; GO:0045184; GO:0043001; GO:0010960; GO:0072660; GO:0071709; GO:0000281; GO:1902260; GO:0007528; GO:0019228; GO:0007009; GO:2001259; GO:0010650; GO:0010628; GO:0034112; GO:1900827; GO:0045838; GO:0090314; GO:2000651; GO:0010765; GO:0099612; GO:0072659; GO:0043266; GO:0007165
G5E8K5,GO:0030424; GO:0043194; GO:0009925; GO:0016323; GO:0005923; GO:0009986; GO:0030425; GO:0014704; GO:0016328; GO:0005764; GO:0016020; GO:0031594; GO:0043005; GO:0033268; GO:0033270; GO:0005886; GO:0045211; GO:0042383; GO:0016529; GO:0014731; GO:0045202; GO:0030315; GO:0030018; GO:0045296; GO:0008092; GO:0140031; GO:0030674; GO:0030507; GO:0005200; GO:0044325; GO:0007411; GO:0007409; GO:0071286; GO:0045162; GO:0045184; GO:0043001; GO:0010960; GO:0072660; GO:0071709; GO:0000281; GO:1902260; GO:0007528; GO:0019228; GO:0007009; GO:0045760; GO:2001259; GO:0010650; GO:0010628; GO:0034112; GO:1900827; GO:0045838; GO:0090314; GO:2000651; GO:0010765; GO:0099612; GO:0072659; GO:0043266; GO:0007165; GO:0050808
Q8IWZ3,GO:0005737; GO:0003723; GO:0045087
Q9JHZ2,GO:0005576; GO:0016021; GO:0005887; GO:0005886; GO:0030504; GO:0005315; GO:0015114; GO:0110148; GO:0030282; GO:0055074; GO:0071529; GO:0071344; GO:0010467; GO:0030505; GO:0055062; GO:0030500; GO:1904383
Q0VCS9,GO:0005929; GO:0019899; GO:0046872
Q8IV38,GO:0005929; GO:0019899; GO:0046872
Q99873,GO:0005737; GO:0005829; GO:0034709; GO:0005654; GO:0005634; GO:0019899; GO:0042054; GO:0044020; GO:0042802; GO:0008327; GO:0008168; GO:0048273; GO:0008170; GO:0008276; GO:0016274; GO:0035242; GO:0035241; GO:0003723; GO:1904047; GO:0048738; GO:0007166; GO:0043985; GO:0016571; GO:0001701; GO:0046329; GO:0045653; GO:0031175; GO:0018216; GO:0008284; GO:0045648; GO:0046985; GO:1900745; GO:0051260; GO:0006479; GO:0045652; GO:0008380; GO:0019082
Q28F07,GO:0005737; GO:0005829; GO:0005654; GO:0005634; GO:0042054; GO:0044020; GO:0042802; GO:0008170; GO:0008276; GO:0016274; GO:0035242; GO:0035241; GO:1904047; GO:0003713; GO:0048738; GO:0043985; GO:0016571; GO:0007552; GO:0045653; GO:0022008; GO:0018216; GO:0008284; GO:0045893; GO:0051260; GO:0006479; GO:0031056; GO:0045652; GO:0008380
O14744,GO:0000785; GO:0005737; GO:0005829; GO:0005794; GO:0035097; GO:0034709; GO:0005654; GO:0005634; GO:0070888; GO:0044020; GO:0008469; GO:0042802; GO:0008327; GO:0008168; GO:0002039; GO:0046982; GO:0016274; GO:0035243; GO:0043021; GO:0003714; GO:0006325; GO:0032922; GO:0006353; GO:0042118; GO:0090161; GO:0034969; GO:0043985; GO:0097421; GO:0045596; GO:0018216; GO:0035246; GO:1904992; GO:0048026; GO:0048714; GO:0044030; GO:0070372; GO:0007088; GO:1901796; GO:0006355; GO:0000387
Q5R698,GO:0005829; GO:0005794; GO:0034709; GO:0005634; GO:0070888; GO:0044020; GO:0008327; GO:0016274; GO:0035243; GO:0003714; GO:0006325; GO:0032922; GO:0006353; GO:0042118; GO:0090161; GO:0043985; GO:0018216; GO:0035246; GO:0000387
A6QQV6,GO:0005829; GO:0005634; GO:0005886; GO:0044020; GO:0004984; GO:0035241; GO:0035243; GO:0030154; GO:0043046; GO:0034969; GO:0018216; GO:0006349; GO:0000387
Q9NR22,GO:0098753; GO:0005886; GO:0019899; GO:0008469; GO:0042802; GO:0042803; GO:0035242; GO:0035241; GO:1904047; GO:0008757; GO:0016571; GO:0018216; GO:0019919; GO:0051260; GO:0006479; GO:0043393
Q6PAK3,GO:0098753; GO:0005886; GO:0019899; GO:0008469; GO:0042802; GO:0042803; GO:0035242; GO:0035241; GO:1904047; GO:0008757; GO:0016571; GO:0018216; GO:0019919; GO:0051260; GO:0006479
Q5XXA6,GO:0016324; GO:0034707; GO:0005737; GO:0070062; GO:0005887; GO:0045121; GO:0005654; GO:0005886; GO:0005227; GO:0005254; GO:0042802; GO:0005229; GO:0015111; GO:0046872; GO:0042803; GO:0005102; GO:0005247; GO:0006812; GO:0034605; GO:1901653; GO:1902476; GO:0006821; GO:0050965; GO:0106091; GO:0015705; GO:0034220; GO:0070254; GO:0007200; GO:0035774; GO:0072657; GO:0055085
Q8BHY3,GO:0016324; GO:0034707; GO:0005737; GO:0009897; GO:0005887; GO:0045121; GO:0005654; GO:0005886; GO:0005227; GO:0005254; GO:0042802; GO:0005229; GO:0015111; GO:0046872; GO:0042803; GO:0005102; GO:0005247; GO:0006812; GO:0034605; GO:1901653; GO:1902476; GO:0006821; GO:0050965; GO:0051649; GO:0106091; GO:0015705; GO:0070254; GO:0007200; GO:0035774; GO:0072657; GO:0042391; GO:0060438; GO:0055085
Q9BYT9,GO:0016021; GO:0005886; GO:0005254; GO:0005229; GO:0017128; GO:0046983; GO:0061591; GO:0061590; GO:1902476; GO:0050982; GO:0016048; GO:0051649; GO:0034220; GO:0055085
Q32M45,GO:0016021; GO:0005886; GO:0005254; GO:0005229; GO:0017128; GO:0046983; GO:0061591; GO:0061590; GO:0061589; GO:1902476; GO:0006821; GO:0051649; GO:0034220; GO:0055085
O75179,GO:0000785; GO:0005737; GO:0001673; GO:0016020; GO:0031965; GO:0005654; GO:0005634; GO:0003682; GO:0003723; GO:0001955; GO:0042742; GO:0045087; GO:0051151; GO:0045787; GO:1900087; GO:0043123; GO:1900245; GO:1900246; GO:0006275
O15084,GO:0005829; GO:0005654
Q8N6D5,
Q5F478,
Q86W74,GO:0016021
Q9ULJ7,GO:0005768; GO:0032456; GO:0015031
Q5ZLC8,GO:0030315; GO:0036371; GO:0055117
Q6NXT1,GO:0005737; GO:0030496; GO:0005634; GO:0019887; GO:0044877; GO:0006913; GO:0045648; GO:1902531; GO:0045859
Q2KI79,GO:1990393; GO:0005856; GO:0005829; GO:0016020; GO:0005634; GO:0042826; GO:0050750; GO:0019901; GO:0031625; GO:0010468; GO:0043254
Q9H9E1,GO:0005856; GO:0005829; GO:0016020; GO:0005634; GO:0032991; GO:0042826; GO:0050750; GO:0019901; GO:0031625; GO:0010468; GO:0043254
Q9CZ52,GO:0009986; GO:0009897; GO:0031527; GO:0016021; GO:0031258; GO:0005886; GO:0051015; GO:0005518; GO:0046872; GO:0004888; GO:0031532; GO:0001568; GO:1901202; GO:1905050; GO:0022414; GO:0034446; GO:1901998
