GO,Genes
GO:0071840,POLR1E
GO:0071840,SEC22B
GO:0071840,SSX2IP
GO:0071840,TNFRSF21
GO:0071840,HDAC4
GO:0071840,PRKAA2
GO:0071840,UHRF1
GO:0071840,SRF
GO:0071840,KATNB1
GO:0071840,NDUFB1
GO:0071840,FURIN
GO:0071840,PPM1D
GO:0071840,MRM1
GO:0071840,NTN1
GO:0071840,DNAJB6
GO:0071840,ARL13B
GO:0071840,SLITRK3
GO:0071840,XIRP1
GO:0071840,ZNF622
GO:0071840,SMARCE1
GO:0071840,PTPN1
GO:0071840,SEC24B
GO:0071840,NOP58
GO:0071840,FKRP
GO:0071840,SPAG6
GO:0071840,ASCC1
GO:0071840,SEMA4B
GO:0071840,BAIAP2
GO:0071840,MFSD14A
GO:0071840,KLF7
GO:0071840,MCM3AP
GO:0071840,MARCKS
GO:0071840,KLF5
GO:0071840,KIAA0586
GO:0071840,CTH
GO:0071840,VPS41
GO:0071840,RAB18
GO:0071840,DRG1
GO:0071840,RAB19
GO:0071840,VIPAS39
GO:0071840,CBLN4
GO:0071840,EIF3D
GO:0071840,SLC25A36
GO:0071840,NECTIN1
GO:0071840,SMARCAL1
GO:0071840,ODAD2
GO:0071840,RETREG3
GO:0071840,JMJD1C
GO:0071840,IKZF1
GO:0071840,TXNDC15
GO:0071840,RCBTB1
GO:0071840,PEX26
GO:0071840,BAIAP2L2
GO:0071840,OGFOD1
GO:0071840,DPF1
GO:0071840,DAG1
GO:0071840,CIAO2B
GO:0071840,SYNPO
GO:0071840,SLC12A7
GO:0071840,EIF2A
GO:0071840,TNS1
GO:0071840,ABT1
GO:0071840,EPHA4
GO:0071840,SMARCC2
GO:0071840,MUSK
GO:0071840,COG3
GO:0071840,GOLPH3L
GO:0071840,COG1
GO:0071840,IMP4
GO:0071840,BTC
GO:0071840,SHTN1
GO:0071840,CFDP1
GO:0071840,SOAT1
GO:0071840,MIP
GO:0071840,SIK3
GO:0071840,WDPCP
GO:0071840,DNA2
GO:0071840,ZNF830
GO:0071840,EPHA1
GO:0071840,OBSL1
GO:0071840,L3MBTL1
GO:0071840,PIK3R4
GO:0071840,HTATSF1
GO:0071840,RACGAP1
GO:0071840,PDCD11
GO:0071840,DHX37
GO:0071840,TSPAN2
GO:0071840,STXBP6
GO:0071840,SNX7
GO:0071840,AAR2
GO:0071840,ZRANB3
GO:0071840,TRAP1
GO:0071840,ZRANB1
GO:0071840,LRRN2
GO:0071840,GADD45A
GO:0071840,IGF2
GO:0071840,PARVA
GO:0071840,ICK
GO:0071840,NDUFAF3
GO:0071840,GRB2
GO:0071840,NDUFAF1
GO:0071840,DHX29
GO:0071840,RCOR1
GO:0071840,COL18A1
GO:0071840,DAZAP2
GO:0071840,DET1
GO:0071840,TRAM1
GO:0071840,HIP1
GO:0071840,GFM2
GO:0071840,PTPRN
GO:0071840,NAT10
GO:0071840,VLDLR
GO:0071840,LIMD1
GO:0071840,PTPRF
GO:0071840,NUDCD3
GO:0071840,KIF19
GO:0071840,ZMYM3
GO:0071840,CTSL
GO:0071840,STBD1
GO:0071840,PHGDH
GO:0071840,FEZF2
GO:0071840,UTP14A
GO:0071840,PRMT5
GO:0071840,DBNL
GO:0071840,STARD3NL
GO:0071840,ATMIN
GO:0071840,KIF23
GO:0071840,GFRA1
GO:0071840,PROX1
GO:0071840,VAV1
GO:0071840,RAD51B
GO:0071840,TNNT1
GO:0071840,MATN1
GO:0071840,STRAP
GO:0071840,MAPRE3
GO:0071840,ALDOB
GO:0071840,ARHGEF7
GO:0071840,PDZRN3
GO:0071840,ARHGEF6
GO:0071840,RAB7A
GO:0071840,NAPA
GO:0071840,FOXC2
GO:0071840,CAPG
GO:0071840,NOL9
GO:0071840,PRICKLE4
GO:0071840,SAMM50
GO:0071840,EGFLAM
GO:0071840,EMC2
GO:0071840,METTL5
GO:0071840,RAD54L
GO:0071840,EXOSC3
GO:0071840,EXOSC1
GO:0071840,GINS1
GO:0071840,SUZ12
GO:0071840,BCAP31
GO:0071840,RANBP1
GO:0071840,CAVIN2
GO:0071840,PTGES3
GO:0071840,ERBIN
GO:0071840,RPA2
GO:0071840,TUBE1
GO:0071840,SORBS2
GO:0071840,PEX10
GO:0071840,MLH3
GO:0071840,PLEKHA8
GO:0071840,F2RL1
GO:0071840,TARDBP
GO:0071840,MPHOSPH6
GO:0071840,NDUFA13
GO:0071840,ACAA2
GO:0071840,UBXN2B
GO:0071840,CRTC1
GO:0071840,KDM1B
GO:0071840,EME2
GO:0071840,TMEM38A
GO:0071840,TEKT5
GO:0071840,BORCS7
GO:0071840,TMEM14A
GO:0071840,WASHC3
GO:0071840,CARD10
GO:0071840,GHSR
GO:0071840,PCID2
GO:0071840,MIGA1
GO:0071840,APLP2
GO:0071840,ATG9A
GO:0071840,DNAJB12
GO:0071840,DNAJB14
GO:0071840,CFAP410
GO:0071840,TMEM250
GO:0071840,OXA1L
GO:0071840,TMEM138
GO:0071840,ISCU
GO:0071840,TSG101
GO:0071840,DDX1
GO:0071840,UTP23
GO:0071840,PSEN2
GO:0071840,SLC1A2
GO:0071840,ARHGAP17
GO:0071840,TMEM123
GO:0071840,CNN1
GO:0071840,EFNB3
GO:0071840,TASOR
GO:0071840,PACSIN3
GO:0071840,LPXN
GO:0071840,USP50
GO:0071840,NPHP3
GO:0071840,SUDS3
GO:0071840,DMAP1
GO:0071840,PDZD7
GO:0071840,SMAD4
GO:0071840,CRTAP
GO:0071840,PTCH1
GO:0071840,AZIN2
GO:0071840,TDRD6
GO:0071840,TDRD5
GO:0071840,EIF2S2
GO:0071840,EIF2S1
GO:0071840,TDRD3
GO:0071840,TMEM231
GO:0071840,TBCK
GO:0071840,GDNF
GO:0071840,JMY
GO:0071840,CHMP2A
GO:0071840,IFT27
GO:0071840,MAP6D1
GO:0071840,CNTN4
GO:0071840,GCLM
GO:0071840,UBE2K
GO:0071840,MYF5
GO:0071840,ABCD4
GO:0071840,DDX47
GO:0071840,LMOD1
GO:0071840,SLC2A1
GO:0071840,LAMC2
GO:0071840,TENT4A
GO:0071840,LMNB2
GO:0071840,HEBP2
GO:0071840,SEPT7
GO:0071840,MLST8
GO:0071840,TIMM17A
GO:0071840,USP30
GO:0071840,ZNF385A
GO:0071840,PLA2G4C
GO:0071840,DDX56
GO:0071840,TWNK
GO:0071840,AXIN2
GO:0071840,SHROOM1
GO:0071840,TTI1
GO:0071840,ETV6
GO:0071840,LATS1
GO:0071840,ALS2
GO:0071840,NDUFS7
GO:0071840,GORASP2
GO:0071840,CDHR1
GO:0071840,RFT1
GO:0071840,TMEM9
GO:0071840,CILK1
GO:0071840,ATG4D
GO:0071840,ABRAXAS1
GO:0071840,TSGA10IP
GO:0071840,GOSR2
GO:0071840,MTIF2
GO:0071840,HSPD1
GO:0071840,ADD2
GO:0071840,EFS
GO:0071840,MTA3
GO:0071840,ARFGEF2
GO:0071840,TAF15
GO:0071840,PTCD2
GO:0071840,LAMB2
GO:0071840,TAF13
GO:0071840,EYA2
GO:0071840,DTNBP1
GO:0071840,SSRP1
GO:0071840,UFM1
GO:0071840,TEN1
GO:0071840,CLCN4
GO:0071840,ERCC3
GO:0071840,CAPN10
GO:0071840,NPHS2
GO:0071840,KANSL3
GO:0071840,BAX
GO:0071840,ATP13A2
GO:0071840,TAF5
GO:0071840,ASB2
GO:0071840,RBMX
GO:0071840,CKLF
GO:0071840,RAN
GO:0071846,
GO:0071847,
GO:0071848,
GO:0071855,GHRH
GO:0071863,MAP3K3
GO:0071864,MAP3K3
GO:0071865,
GO:0071866,
GO:0071867,HTR7
GO:0071867,FCSK
GO:0071867,PTGER1
GO:0071867,HTR1D
GO:0071868,HTR7
GO:0071868,PTGER1
GO:0071868,HTR1D
GO:0071869,HTR7
GO:0071869,FCSK
GO:0071869,PTGER1
GO:0071869,HTR1D
GO:0071870,HTR7
GO:0071870,PTGER1
GO:0071870,HTR1D
GO:0071871,
GO:0071872,
GO:0071873,
GO:0071874,
GO:0071875,LMBRD2
GO:0071875,ADRA2B
GO:0071877,
GO:0071878,
GO:0071879,
GO:0071880,ADRA2B
GO:0071881,
GO:0071882,
GO:0071885,
GO:0071886,
GO:0071887,CTSL
GO:0071887,BAX
GO:0071887,FNIP1
GO:0071887,TNFRSF21
GO:0071888,CTSL
GO:0071889,NEK1
GO:0071889,PRKCZ
GO:0071889,TBC1D22A
GO:0071890,
GO:0071893,
GO:0071894,
GO:0071895,DSP
GO:0071896,
GO:0071897,PTGES3
GO:0071897,REV1
GO:0071897,POLL
GO:0071900,CDKN1C
GO:0071900,DAZAP2
GO:0071900,TSG101
GO:0071900,BMPR2
GO:0071900,CCNT2
GO:0071900,CCNI
GO:0071900,TNF
GO:0071900,PIK3R6
GO:0071900,HHEX
GO:0071900,MLST8
GO:0071900,CHP1
GO:0071900,PTPN1
GO:0071900,EPHA4
GO:0071900,MAP2K1
GO:0071900,ACSL1
GO:0071900,GADD45A
GO:0071900,PIH1D1
GO:0071900,PAQR3
GO:0071900,IGF2
GO:0071900,DTNBP1
GO:0071900,PROX1
GO:0071900,LATS1
GO:0071900,DAB2
GO:0071900,TEN1
GO:0071900,CCNY
GO:0071900,ALS2
GO:0071900,IL1B
GO:0071900,PPP1R1B
GO:0071900,PDCD4
GO:0071900,PTPN6
GO:0071900,MAPRE3
GO:0071900,CAMK1
GO:0071900,BMPR1A
GO:0071901,LATS1
GO:0071901,CDKN1C
GO:0071901,PTPN1
GO:0071901,HHEX
GO:0071901,GADD45A
GO:0071901,IL1B
GO:0071901,PAQR3
GO:0071901,PPP1R1B
GO:0071901,PDCD4
GO:0071901,DTNBP1
GO:0071901,CHP1
GO:0071901,PTPN6
GO:0071902,PTPN1
GO:0071902,DAZAP2
GO:0071902,EPHA4
GO:0071902,MAP2K1
GO:0071902,BMPR2
GO:0071902,CCNT2
GO:0071902,ACSL1
GO:0071902,PIH1D1
GO:0071902,IGF2
GO:0071902,PROX1
GO:0071902,TNF
GO:0071902,PIK3R6
GO:0071902,TEN1
GO:0071902,CCNY
GO:0071902,ALS2
GO:0071902,IL1B
GO:0071902,MLST8
GO:0071902,MAPRE3
GO:0071902,CAMK1
GO:0071902,BMPR1A
GO:0071907,DNAAF1
GO:0071907,NPHP3
GO:0071908,NPHP3
GO:0071909,NPHP3
GO:0071910,DNAAF1
GO:0071910,NPHP3
GO:0071911,
GO:0071913,
GO:0071914,
GO:0071916,
GO:0071918,POU3F3
GO:0071919,
GO:0071920,DDX1
GO:0071921,
GO:0071922,
GO:0071926,
GO:0071929,
GO:0071930,
GO:0071931,
GO:0071932,DNA2
GO:0071933,JMY
GO:0071933,PICK1
GO:0071934,
GO:0071936,
GO:0071938,
GO:0071939,
GO:0071941,ARG2
GO:0071942,RAD23B
GO:0071943,
GO:0071944,SLC23A3
GO:0071944,PI4K2B
GO:0071944,SLC4A1AP
GO:0071944,NPFFR1
GO:0071944,SERPINE2
GO:0071944,TXNDC15
GO:0071944,ABRA
GO:0071944,ELK3
GO:0071944,RXFP3
GO:0071944,PNN
GO:0071944,BAIAP2L2
GO:0071944,HERC2
GO:0071944,RASSF2
GO:0071944,HTR7
GO:0071944,RASSF3
GO:0071944,GPBP1
GO:0071944,DAG1
GO:0071944,C3AR1
GO:0071944,SYNPO
GO:0071944,SLC12A7
GO:0071944,EPHA4
GO:0071944,ENTPD1
GO:0071944,MUSK
GO:0071944,DAPK1
GO:0071944,ACSL1
GO:0071944,DNAAF1
GO:0071944,KCNK12
GO:0071944,CMC2
GO:0071944,ENTPD6
GO:0071944,COG3
GO:0071944,SLC6A11
GO:0071944,ADGRA3
GO:0071944,ACSL4
GO:0071944,BTC
GO:0071944,NISCH
GO:0071944,CCNY
GO:0071944,MIP
GO:0071944,CLDN8
GO:0071944,GPR160
GO:0071944,MXRA8
GO:0071944,WDPCP
GO:0071944,EPHA1
GO:0071944,FREM1
GO:0071944,SKAP2
GO:0071944,NLRX1
GO:0071944,SLCO5A1
GO:0071944,PRKCZ
GO:0071944,GLG1
GO:0071944,PIK3R6
GO:0071944,CBARP
GO:0071944,RIC8A
GO:0071944,XKRX
GO:0071944,APH1A
GO:0071944,EPB41L5
GO:0071944,HPX
GO:0071944,UGT8
GO:0071944,C5
GO:0071944,MC2R
GO:0071944,RACGAP1
GO:0071944,EPB41L3
GO:0071944,MLEC
GO:0071944,SYMPK
GO:0071944,TSPAN2
GO:0071944,RCE1
GO:0071944,STXBP6
GO:0071944,HMOX2
GO:0071944,TRAP1
GO:0071944,FYB2
GO:0071944,JUN
GO:0071944,YES1
GO:0071944,DMPK
GO:0071944,BTBD17
GO:0071944,LRRN2
GO:0071944,FN1
GO:0071944,PARVA
GO:0071944,CNFN
GO:0071944,L1CAM
GO:0071944,SLC16A14
GO:0071944,GPR137B
GO:0071944,EIF5
GO:0071944,GJB5
GO:0071944,NOSTRIN
GO:0071944,CYSTM1
GO:0071944,LRRN1
GO:0071944,DCHS1
GO:0071944,GRB2
GO:0071944,REN
GO:0071944,PLCH1
GO:0071944,CC2D1A
GO:0071944,GSDME
GO:0071944,CLIC5
GO:0071944,COL18A1
GO:0071944,HIP1
GO:0071944,PIGN
GO:0071944,PTPRN
GO:0071944,LRRC4
GO:0071944,SLC7A14
GO:0071944,CLTB
GO:0071944,SRA1
GO:0071944,MAGT1
GO:0071944,VLDLR
GO:0071944,LIMD1
GO:0071944,SHB
GO:0071944,ARHGAP5
GO:0071944,PTPRF
GO:0071944,MRPL42
GO:0071944,GABRR1
GO:0071944,GNGT2
GO:0071944,JPH3
GO:0071944,C8G
GO:0071944,UBL3
GO:0071944,CTSL
GO:0071944,STBD1
GO:0071944,MMP28
GO:0071944,FLVCR2
GO:0071944,CD38
GO:0071944,RRP12
GO:0071944,PANX3
GO:0071944,GPR39
GO:0071944,DBNL
GO:0071944,GP1BB
GO:0071944,ANXA3
GO:0071944,MYOF
GO:0071944,SSR3
GO:0071944,EMP2
GO:0071944,IL16
GO:0071944,GFRA1
GO:0071944,FAM126B
GO:0071944,RBSN
GO:0071944,FAM126A
GO:0071944,VAV1
GO:0071944,BACE2
GO:0071944,GJD4
GO:0071944,ANGPTL6
GO:0071944,MATN1
GO:0071944,PICK1
GO:0071944,VAMP4
GO:0071944,ARHGEF7
GO:0071944,TKT
GO:0071944,GAS7
GO:0071944,RAB7A
GO:0071944,NAPA
GO:0071944,GUCY2D
GO:0071944,PHLPP1
GO:0071944,PACC1
GO:0071944,PTGER1
GO:0071944,WNT8A
GO:0071944,SLC7A1
GO:0071944,EGFLAM
GO:0071944,TMEM65
GO:0071944,CXCR3
GO:0071944,ALKAL2
GO:0071944,RABAC1
GO:0071944,YKT6
GO:0071944,GPR158
GO:0071944,BCAP31
GO:0071944,RFTN2
GO:0071944,CAVIN2
GO:0071944,F12
GO:0071944,KCNB2
GO:0071944,CAVIN4
GO:0071944,ERBIN
GO:0071944,SORBS2
GO:0071944,OTOP3
GO:0071944,SEPTIN7
GO:0071944,MIB1
GO:0071944,RGP1
GO:0071944,GPR143
GO:0071944,STK17B
GO:0071944,PLP1
GO:0071944,F2RL1
GO:0071944,FILIP1
GO:0071944,LAMTOR1
GO:0071944,ADGRL2
GO:0071944,ADGRL3
GO:0071944,ANKRD13D
GO:0071944,CCNT2
GO:0071944,CD82
GO:0071944,CRTC1
GO:0071944,TUSC3
GO:0071944,TNF
GO:0071944,EFEMP1
GO:0071944,BMPER
GO:0071944,PLAU
GO:0071944,ARHGDIA
GO:0071944,TOM1
GO:0071944,TNR
GO:0071944,CHP1
GO:0071944,ENPP1
GO:0071944,ENPP4
GO:0071944,LZTS2
GO:0071944,GGT1
GO:0071944,CA14
GO:0071944,TECTA
GO:0071944,TECTB
GO:0071944,SEMA6C
GO:0071944,GHSR
GO:0071944,MYLIP
GO:0071944,G6PD
GO:0071944,MAP2K1
GO:0071944,CDKL5
GO:0071944,MIGA1
GO:0071944,APLP2
GO:0071944,SWAP70
GO:0071944,AIP
GO:0071944,CASK
GO:0071944,ATP1B4
GO:0071944,TTC7A
GO:0071944,ZBTB33
GO:0071944,CFAP410
GO:0071944,TMEM250
GO:0071944,DGKZ
GO:0071944,PDIA6
GO:0071944,MAG
GO:0071944,TMX3
GO:0071944,MELK
GO:0071944,FRMD7
GO:0071944,CSNK1G2
GO:0071944,COL17A1
GO:0071944,CD151
GO:0071944,TSG101
GO:0071944,SLC41A2
GO:0071944,NPR3
GO:0071944,PSEN2
GO:0071944,SLC1A2
GO:0071944,ARHGAP17
GO:0071944,ADIPOR2
GO:0071944,MTM1
GO:0071944,TMEM123
GO:0071944,ASIC4
GO:0071944,BAG4
GO:0071944,EFNB3
GO:0071944,GRK6
GO:0071944,PACSIN3
GO:0071944,LPXN
GO:0071944,USP50
GO:0071944,SOCS7
GO:0071944,PDZD7
GO:0071944,SLC38A5
GO:0071944,ITPRID2
GO:0071944,SYT3
GO:0071944,SLC52A2
GO:0071944,PTCH1
GO:0071944,GLMN
GO:0071944,HTR1D
GO:0071944,TMEM231
GO:0071944,LRFN5
GO:0071944,DAB2
GO:0071944,TMEM116
GO:0071944,LRFN1
GO:0071944,CHMP2A
GO:0071944,PLXNB3
GO:0071944,CPE
GO:0071944,SPIRE1
GO:0071944,TAB3
GO:0071944,TAB2
GO:0071944,GPR107
GO:0071944,CNTN4
GO:0071944,HPSE
GO:0071944,FGFR4
GO:0071944,DNAL4
GO:0071944,DRC3
GO:0071944,SERINC5
GO:0071944,BMPR1A
GO:0071944,ABCD4
GO:0071944,SLC25A3
GO:0071944,BMPR2
GO:0071944,COL14A1
GO:0071944,CNRIP1
GO:0071944,ITGB2
GO:0071944,SLC2A1
GO:0071944,LAMC2
GO:0071944,TSPAN12
GO:0071944,ELFN1
GO:0071944,FTCD
GO:0071944,HEBP1
GO:0071944,SDR16C5
GO:0071944,PSTPIP1
GO:0071944,UPK1B
GO:0071944,KIAA1549
GO:0071944,SEPT7
GO:0071944,UPK1A
GO:0071944,PSD2
GO:0071944,SGCA
GO:0071944,MDK
GO:0071944,PSD4
GO:0071944,PPP6R3
GO:0071944,BOC
GO:0071944,EMILIN3
GO:0071944,ADAMTS6
GO:0071944,SGCG
GO:0071944,SH3D19
GO:0071944,DSP
GO:0071944,ABCC2
GO:0071944,DCXR
GO:0071944,PLA2G4C
GO:0071944,SH2D3C
GO:0071944,MYRIP
GO:0071944,AXIN2
GO:0071944,SHROOM1
GO:0071944,ADRA2B
GO:0071944,TIRAP
GO:0071944,ETV6
GO:0071944,ARFGAP2
GO:0071944,EPN2
GO:0071944,GIP
GO:0071944,LMBRD1
GO:0071944,TMIGD1
GO:0071944,LMBRD2
GO:0071944,MMRN1
GO:0071944,NDUFS7
GO:0071944,TRAF3
GO:0071944,RP2
GO:0071944,CDHR1
GO:0071944,TMBIM1
GO:0071944,RFT1
GO:0071944,NUMB
GO:0071944,ITGA8
GO:0071944,BIRC2
GO:0071944,CAMK1G
GO:0071944,TNFRSF21
GO:0071944,RNF34
GO:0071944,HPGD
GO:0071944,RPL36A
GO:0071944,KATNB1
GO:0071944,FURIN
GO:0071944,PRCP
GO:0071944,NOD1
GO:0071944,ATP2C2
GO:0071944,SRI
GO:0071944,TFPI
GO:0071944,CBL
GO:0071944,MESD
GO:0071944,NTN1
GO:0071944,RNF5
GO:0071944,HSPD1
GO:0071944,STRN3
GO:0071944,ADD2
GO:0071944,DLL4
GO:0071944,EFS
GO:0071944,ARL13B
GO:0071944,PRRG2
GO:0071944,SLITRK3
GO:0071944,MAL2
GO:0071944,RFFL
GO:0071944,AAMP
GO:0071944,PTPN1
GO:0071944,NTRK2
GO:0071944,KCNJ5
GO:0071944,LINGO1
GO:0071944,LINGO4
GO:0071944,KCNJ6
GO:0071944,FKRP
GO:0071944,NOS2
GO:0071944,LAMB2
GO:0071944,SEMA4B
GO:0071944,DTNBP1
GO:0071944,BAIAP2
GO:0071944,MARCKS
GO:0071944,CLCN5
GO:0071944,TEN1
GO:0071944,CLCN4
GO:0071944,SYT12
GO:0071944,CAPN10
GO:0071944,NPHS2
GO:0071944,CTH
GO:0071944,RGS10
GO:0071944,RAB18
GO:0071944,DRG1
GO:0071944,RAB19
GO:0071944,BAX
GO:0071944,PTPN6
GO:0071944,CBLN4
GO:0071944,NECTIN1
GO:0071947,ZRANB1
GO:0071947,USP9X
GO:0071949,AIFM1
GO:0071949,KDM1B
GO:0071949,DHCR24
GO:0071951,
GO:0071953,
GO:0071955,
GO:0071962,NAA50
GO:0071963,
GO:0071971,
GO:0071976,
GO:0071985,TSG101
GO:0071985,CHMP2A
GO:0071985,VPS37A
GO:0071986,LAMTOR1
GO:0071987,
GO:0071988,
GO:0072001,FOXC2
GO:0072001,HPGD
GO:0072001,HOXD11
GO:0072001,HOXA11
GO:0072001,BAG6
GO:0072001,APH1A
GO:0072001,SOX17
GO:0072001,BMPER
GO:0072001,SIX2
GO:0072001,RDH10
GO:0072001,NPHP3
GO:0072001,LZTS2
GO:0072001,ADAMTS6
GO:0072001,HELLS
GO:0072001,OSR2
GO:0072001,EPHA4
GO:0072001,SMAD4
GO:0072001,ARG2
GO:0072001,PTCD2
GO:0072001,APAF1
GO:0072001,LAMB2
GO:0072001,PTCH1
GO:0072001,OSR1
GO:0072001,GFRA1
GO:0072001,PROX1
GO:0072001,POU3F3
GO:0072001,GDNF
GO:0072001,SNX17
GO:0072001,NPHS2
GO:0072001,ITGA8
GO:0072001,BAX
GO:0072001,IFT27
GO:0072001,DCHS1
GO:0072001,WDPCP
GO:0072001,REN
GO:0072003,
GO:0072004,
GO:0072006,FOXC2
GO:0072006,SMAD4
GO:0072006,LAMB2
GO:0072006,PTCH1
GO:0072006,OSR1
GO:0072006,HOXD11
GO:0072006,POU3F3
GO:0072006,HOXA11
GO:0072006,GDNF
GO:0072006,NPHS2
GO:0072006,SIX2
GO:0072006,DCHS1
GO:0072006,LZTS2
GO:0072007,FOXC2
GO:0072007,OSR1
GO:0072008,FOXC2
GO:0072009,FOXC2
GO:0072009,SMAD4
GO:0072009,LAMB2
GO:0072009,PTCH1
GO:0072009,OSR1
GO:0072009,HOXD11
GO:0072009,POU3F3
GO:0072009,HOXA11
GO:0072009,GDNF
GO:0072009,NPHS2
GO:0072009,SIX2
GO:0072009,DCHS1
GO:0072009,LZTS2
GO:0072010,FOXC2
GO:0072010,LAMB2
GO:0072010,NPHS2
GO:0072011,FOXC2
GO:0072012,FOXC2
GO:0072012,OSR1
GO:0072014,
GO:0072015,LAMB2
GO:0072015,NPHS2
GO:0072016,
GO:0072017,POU3F3
GO:0072019,
GO:0072020,
GO:0072021,POU3F3
GO:0072022,
GO:0072023,POU3F3
GO:0072024,POU3F3
GO:0072025,POU3F3
GO:0072027,
GO:0072028,SMAD4
GO:0072028,GDNF
GO:0072028,SIX2
GO:0072028,PTCH1
GO:0072028,OSR1
GO:0072028,DCHS1
GO:0072028,HOXD11
GO:0072028,LZTS2
GO:0072028,HOXA11
GO:0072032,
GO:0072033,
GO:0072034,
GO:0072036,
GO:0072038,SIX2
GO:0072039,
GO:0072040,
GO:0072044,PTCH1
GO:0072046,
GO:0072047,OSR1
GO:0072048,OSR1
GO:0072049,
GO:0072050,
GO:0072051,POU3F3
GO:0072053,
GO:0072054,
GO:0072055,
GO:0072059,
GO:0072060,
GO:0072061,
GO:0072069,POU3F3
GO:0072070,POU3F3
GO:0072071,OSR1
GO:0072073,FOXC2
GO:0072073,EPHA4
GO:0072073,SMAD4
GO:0072073,ARG2
GO:0072073,LAMB2
GO:0072073,PTCH1
GO:0072073,OSR1
GO:0072073,HOXD11
GO:0072073,POU3F3
GO:0072073,HOXA11
GO:0072073,BMPER
GO:0072073,GDNF
GO:0072073,NPHS2
GO:0072073,SIX2
GO:0072073,DCHS1
GO:0072073,LZTS2
GO:0072074,SMAD4
GO:0072074,SIX2
GO:0072074,OSR1
GO:0072075,SMAD4
GO:0072075,OSR1
GO:0072076,SMAD4
GO:0072077,GDNF
GO:0072077,SIX2
GO:0072078,SMAD4
GO:0072078,GDNF
GO:0072078,PTCH1
GO:0072078,OSR1
GO:0072078,DCHS1
GO:0072078,HOXD11
GO:0072078,LZTS2
GO:0072078,HOXA11
GO:0072079,GDNF
GO:0072079,OSR1
GO:0072080,SMAD4
GO:0072080,GDNF
GO:0072080,PTCH1
GO:0072080,OSR1
GO:0072080,DCHS1
GO:0072080,HOXD11
GO:0072080,LZTS2
GO:0072080,POU3F3
GO:0072080,HOXA11
GO:0072081,OSR1
GO:0072086,
GO:0072087,GDNF
GO:0072087,SIX2
GO:0072087,OSR1
GO:0072088,SMAD4
GO:0072088,GDNF
GO:0072088,SIX2
GO:0072088,PTCH1
GO:0072088,OSR1
GO:0072088,DCHS1
GO:0072088,HOXD11
GO:0072088,LZTS2
GO:0072088,HOXA11
GO:0072089,OSR2
GO:0072089,WNT10B
GO:0072089,YJEFN3
GO:0072089,SIX2
GO:0072089,PTCH1
GO:0072089,ARIH2
GO:0072089,AXIN2
GO:0072089,SHB
GO:0072089,ETV6
GO:0072091,OSR2
GO:0072091,WNT10B
GO:0072091,SOX17
GO:0072091,PTCH1
GO:0072092,
GO:0072093,
GO:0072095,
GO:0072096,
GO:0072097,
GO:0072098,OSR1
GO:0072099,
GO:0072100,
GO:0072101,
GO:0072102,
GO:0072103,
GO:0072104,
GO:0072105,
GO:0072106,GDNF
GO:0072107,GDNF
GO:0072108,GDNF
GO:0072109,FOXC2
GO:0072110,
GO:0072111,PTCH1
GO:0072111,OSR1
GO:0072112,FOXC2
GO:0072112,LAMB2
GO:0072112,NPHS2
GO:0072114,
GO:0072124,
GO:0072125,
GO:0072126,
GO:0072127,
GO:0072128,
GO:0072129,
GO:0072130,
GO:0072131,SMAD4
GO:0072131,OSR1
GO:0072132,FOXC2
GO:0072132,SMAD4
GO:0072132,OSR1
GO:0072132,DCHS1
GO:0072132,MDM4
GO:0072132,BMPR1A
GO:0072133,SMAD4
GO:0072133,OSR1
GO:0072134,SMAD4
GO:0072135,
GO:0072136,
GO:0072137,SIX2
GO:0072137,DCHS1
GO:0072138,
GO:0072139,
GO:0072141,OSR1
GO:0072143,FOXC2
GO:0072143,OSR1
GO:0072144,FOXC2
GO:0072148,PROX1
GO:0072156,
GO:0072160,
GO:0072161,SIX2
GO:0072161,OSR1
GO:0072162,OSR1
GO:0072163,FOXC2
GO:0072163,SMAD4
GO:0072163,ARG2
GO:0072163,BMPER
GO:0072163,GDNF
GO:0072163,PTCH1
GO:0072163,OSR1
GO:0072163,DCHS1
GO:0072163,HOXD11
GO:0072163,LZTS2
GO:0072163,HOXA11
GO:0072164,FOXC2
GO:0072164,SMAD4
GO:0072164,ARG2
GO:0072164,BMPER
GO:0072164,GDNF
GO:0072164,PTCH1
GO:0072164,OSR1
GO:0072164,DCHS1
GO:0072164,HOXD11
GO:0072164,LZTS2
GO:0072164,HOXA11
GO:0072165,OSR1
GO:0072166,OSR1
GO:0072167,OSR1
GO:0072168,OSR1
GO:0072169,OSR1
GO:0072170,OSR1
GO:0072170,POU3F3
GO:0072171,SMAD4
GO:0072171,GDNF
GO:0072171,PTCH1
GO:0072171,OSR1
GO:0072171,DCHS1
GO:0072171,HOXD11
GO:0072171,LZTS2
GO:0072171,HOXA11
GO:0072172,GDNF
GO:0072172,OSR1
GO:0072173,
GO:0072174,
GO:0072175,SEC24B
GO:0072175,APAF1
GO:0072175,GDNF
GO:0072175,LMO4
GO:0072175,PTCH1
GO:0072175,SUFU
GO:0072175,OSR1
GO:0072175,GLMN
GO:0072175,PROX1
GO:0072175,MIB1
GO:0072176,EPHA4
GO:0072176,OSR1
GO:0072177,OSR1
GO:0072178,EPHA4
GO:0072178,OSR1
GO:0072179,
GO:0072180,OSR1
GO:0072181,
GO:0072182,OSR1
GO:0072183,OSR1
