Orthogroup,Gene,Branch-Site (null/alt),LRT (BS),P-value (BS),Adj. P-value (BS),Site (null/alt),LRT (S),P-value (S),Adj. P-value (S),Signal
OG0011689,SLITRK2,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0009630,MITD1,bsA1/bsA,26.181,0,0,M1/M2,4.988,0.083,0.316,PS_fg
OG0013571,CLCN3,bsA1/bsA,95.51,0,0,M1/M2,2.195,0.334,0.926,PS_fg
OG0013600,PTCRA,bsA1/bsA,177.915,0,0,M1/M2,0.628,0.73,1,PS_fg
OG0008005,ERP27,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0013397,CCT4,bsA1/bsA,9.731,0.002,0.005,M1/M2,2.227,0.328,0.917,PS_fg
OG0013831,APRT,bsA1/bsA,1.723,0.189,0.354,M1/M2,0,1,1,no_PS
OG0013598,GNMT,bsA1/bsA,0,1,1,M1/M2,0.058,0.972,1,no_PS
OG0007775,PTK2B,bsA1/bsA,1.284,0.257,0.466,M1/M2,0,1,1,no_PS
OG0012149,TTC21A,bsA1/bsA,70.869,0,0,M1/M2,0.767,0.682,1,PS_fg
OG0012684,ADCY4,bsA1/bsA,0,1,1,M1/M2,0.001,0.999,1,no_PS
OG0006800,BIN3,bsA1/bsA,75.816,0,0,M1/M2,22.82,0,0,PS_fg_bg
OG0008171,NSUN4,bsA1/bsA,6.743,0.009,0.022,M1/M2,0,1,1,no_PS
OG0010329,SP3,bsA1/bsA,419.96,0,0,M1/M2,32.314,0,0,PS_fg_bg
OG0011532,KLF3,bsA1/bsA,8.394,0.004,0.009,M1/M2,3.71,0.156,0.523,PS_fg
OG0009373,PLPPR1,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0012363,ATG12,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0006694,TMX4,bsA1/bsA,0,1,1,M1/M2,0.833,0.659,1,no_PS
OG0007587,LGALS1,bsA1/bsA,1.652,0.199,0.369,M1/M2,8.527,0.014,0.072,no_PS
OG0008366,COPB2,bsA1/bsA,12.855,0,0.001,M1/M2,13.6,0.001,0.008,PS_fg_bg
OG0014147,NFKBIL1,bsA1/bsA,108.92,0,0,M1/M2,6.884,0.032,0.146,PS_fg
OG0010564,RCAN2,bsA1/bsA,14.406,0,0,M1/M2,0.552,0.759,1,PS_fg
OG0007455,,bsA1/bsA,87.104,0,0,M1/M2,49.588,0,0,PS_fg_bg
OG0011828,PSMD3,bsA1/bsA,0.007,0.934,1,M1/M2,0,1,1,no_PS
OG0008286,AP4M1,bsA1/bsA,39.482,0,0,M1/M2,0,1,1,PS_fg
OG0006937,CD93,bsA1/bsA,,,,M1/M2,37.537,0,0,poor_fit
OG0007435,HPD,bsA1/bsA,0,1,1,M1/M2,0.116,0.944,1,no_PS
OG0010727,CCDC13,bsA1/bsA,90.066,0,0,M1/M2,40.303,0,0,PS_fg_bg
OG0008697,OGFOD3,bsA1/bsA,768.449,0,0,M1/M2,3.18,0.204,0.644,PS_fg
OG0006350,TNKS,bsA1/bsA,0,1,1,M1/M2,3.496,0.174,0.566,no_PS
OG0008343,CEP164,bsA1/bsA,661.403,0,0,M1/M2,0.966,0.617,1,PS_fg
OG0006605,TNFAIP3,bsA1/bsA,0.485,0.486,0.837,M1/M2,0,1,1,no_PS
OG0008977,FGF1,bsA1/bsA,0,1,1,M1/M2,62.697,0,0,PS_bg
OG0010380,NCAM1,bsA1/bsA,10.68,0.001,0.003,M1/M2,0,1,1,PS_fg
OG0010464,NUAK1,bsA1/bsA,11.892,0.001,0.002,M1/M2,0,1,1,PS_fg
OG0006410,SETD7,bsA1/bsA,17.475,0,0,M1/M2,0.048,0.976,1,PS_fg
OG0006856,PFKP,bsA1/bsA,,,,M1/M2,16.074,0,0.003,poor_fit
OG0007278,HYAL2,bsA1/bsA,2.425,0.119,0.234,M1/M2,1.909,0.385,1,no_PS
OG0007231,PNN,bsA1/bsA,10.629,0.001,0.003,M1/M2,1.607,0.448,1,PS_fg
OG0008622,L3HYPDH,bsA1/bsA,0,1,1,M1/M2,0.002,0.999,1,no_PS
OG0007656,SKOR1,bsA1/bsA,52.306,0,0,M1/M2,25.61,0,0,PS_fg_bg
OG0011551,SRSF7,bsA1/bsA,0,1,1,M1/M2,36.823,0,0,PS_bg
OG0006346,PRAG1,bsA1/bsA,0,0.995,1,M1/M2,0,1,1,no_PS
OG0013785,ADD2,bsA1/bsA,62.747,0,0,M1/M2,0,1,1,PS_fg
OG0011410,EIF2S1,bsA1/bsA,84.515,0,0,M1/M2,0.831,0.66,1,PS_fg
OG0008958,CD99,bsA1/bsA,180.794,0,0,M1/M2,15.258,0,0.004,PS_fg_bg
OG0005828,RANBP3,bsA1/bsA,85.012,0,0,M1/M2,32.9,0,0,PS_fg_bg
OG0012188,GLRA1,bsA1/bsA,0,0.997,1,M1/M2,56.78,0,0,PS_bg
OG0005786,APC2,bsA1/bsA,11.276,0.001,0.002,M1/M2,0,1,1,PS_fg
OG0011678,SEC13,bsA1/bsA,0,1,1,M1/M2,0.001,0.999,1,no_PS
OG0007544,SAFB,bsA1/bsA,,,,M1/M2,7.572,0.023,0.109,poor_fit
OG0010805,MRPL44 MFF,bsA1/bsA,0,1,1,M1/M2,4.153,0.125,0.44,no_PS
OG0006560,ZNHIT1,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0007635,KCTD14,bsA1/bsA,7.664,0.006,0.014,M1/M2,0,1,1,no_PS
OG0007419,GTF2H3,bsA1/bsA,70.946,0,0,M1/M2,0,1,1,PS_fg
OG0006294,TMEM123,bsA1/bsA,49.564,0,0,M1/M2,8.769,0.012,0.065,PS_fg
OG0006258,NNT,bsA1/bsA,,,,M1/M2,0.34,0.844,1,poor_fit
OG0011978,FAM217B,bsA1/bsA,109.436,0,0,M1/M2,0.43,0.807,1,PS_fg
OG0013770,PBDC1,bsA1/bsA,0,1,1,M1/M2,4.06,0.131,0.457,no_PS
OG0010160,CNKSR3,bsA1/bsA,0,0.998,1,M1/M2,0,1,1,no_PS
OG0007396,VAV2,bsA1/bsA,33.699,0,0,M1/M2,0,1,1,PS_fg
OG0008678,EXOC7,bsA1/bsA,0.67,0.413,0.718,M1/M2,0,1,1,no_PS
OG0006881,ATP5MC3,bsA1/bsA,0,1,1,M1/M2,1.524,0.467,1,no_PS
OG0007438,BCL7A,bsA1/bsA,,,,M1/M2,0.127,0.939,1,poor_fit
OG0009486,SHOC1 CUNH9ORF84,bsA1/bsA,22.229,0,0,M1/M2,20.174,0,0,PS_fg_bg
OG0010452,CUNH6ORF62 C8H6ORF62,bsA1/bsA,62.245,0,0,M1/M2,0,1,1,PS_fg
OG0008994,BOD1,bsA1/bsA,0.015,0.903,1,M1/M2,0,1,1,no_PS
OG0009447,JCAD,bsA1/bsA,14.305,0,0,M1/M2,23.405,0,0,PS_fg_bg
OG0008423,SSR3,bsA1/bsA,108.639,0,0,M1/M2,3.886,0.143,0.489,PS_fg
OG0010484,SOX2,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0007599,SLC16A8,bsA1/bsA,20.393,0,0,M1/M2,40.651,0,0,PS_fg_bg
OG0012468,ZNF804B,bsA1/bsA,0,1,1,M1/M2,25.392,0,0,PS_bg
OG0013435,PLPP1,bsA1/bsA,0,1,1,M1/M2,15.927,0,0.003,PS_bg
OG0005571,SOX11,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0005952,IL20RB,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0009782,SNX11,bsA1/bsA,0,1,1,M1/M2,0.145,0.93,1,no_PS
OG0005465,PPIL4,bsA1/bsA,0,1,1,M1/M2,0.654,0.721,1,no_PS
OG0012014,GPRC5B,bsA1/bsA,0.862,0.353,0.622,M1/M2,0,1,1,no_PS
OG0011829,GSDMA,bsA1/bsA,6.226,0.013,0.029,M1/M2,120.982,0,0,PS_bg
OG0007631,,bsA1/bsA,1.071,0.301,0.538,M1/M2,11.1,0.004,0.024,no_PS
OG0005424,MAX,bsA1/bsA,34.917,0,0,M1/M2,8.163,0.017,0.085,PS_fg
OG0007167,XPO4,bsA1/bsA,4.392,0.036,0.078,M1/M2,0,1,1,no_PS
OG0006933,MTRR,bsA1/bsA,,,,M1/M2,0.48,0.787,1,poor_fit
OG0007265,MKLN1,bsA1/bsA,0,0.993,1,M1/M2,0,1,1,no_PS
OG0010058,ACADS,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0007108,,bsA1/bsA,3.079,0.079,0.161,M1/M2,0,1,1,no_PS
OG0010292,CDCP1,bsA1/bsA,0,1,1,M1/M2,7.538,0.023,0.111,no_PS
OG0012566,CA12,bsA1/bsA,3.722,0.054,0.113,M1/M2,0,1,1,no_PS
OG0011337,MINDY3,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0010742,CDH7,bsA1/bsA,0,0.999,1,M1/M2,0,1,1,no_PS
OG0010602,BLVRB,bsA1/bsA,134.163,0,0,M1/M2,0.99,0.61,1,PS_fg
OG0010467,POLR3B,bsA1/bsA,11.089,0.001,0.002,M1/M2,0,1,1,PS_fg
OG0008732,SIPA1L2,bsA1/bsA,11.055,0.001,0.002,M1/M2,0,1,1,PS_fg
OG0012903,BUD13,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0005694,SON,bsA1/bsA,27.259,0,0,M1/M2,12.905,0.002,0.01,PS_fg
OG0012744,GSX1,bsA1/bsA,4.238,0.04,0.085,M1/M2,0,1,1,no_PS
OG0014180,PLPPR2,bsA1/bsA,0,1,1,M1/M2,3.34,0.188,0.602,no_PS
OG0008662,MINPP1,bsA1/bsA,4.382,0.036,0.079,M1/M2,2.987,0.225,0.694,no_PS
OG0013644,PROS1,bsA1/bsA,,,,M1/M2,2.993,0.224,0.693,poor_fit
OG0013640,PIGN,bsA1/bsA,421.465,0,0,M1/M2,0.437,0.804,1,PS_fg
OG0008061,ESPL1,bsA1/bsA,13.336,0,0.001,M1/M2,3.442,0.179,0.577,PS_fg
OG0006060,NME5,bsA1/bsA,1.293,0.255,0.464,M1/M2,0.794,0.672,1,no_PS
OG0006978,PTBP1,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0010791,MGAT4C,bsA1/bsA,0,1,1,M1/M2,130.932,0,0,PS_bg
OG0009308,FAM76A,bsA1/bsA,54.578,0,0,M1/M2,2.377,0.305,0.869,PS_fg
OG0009226,PGGT1B,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0007270,KIN,bsA1/bsA,25.675,0,0,M1/M2,0,1,1,PS_fg
OG0011927,TCIRG1,bsA1/bsA,11.932,0.001,0.001,M1/M2,3.029,0.22,0.683,PS_fg
OG0010475,TYRP1,bsA1/bsA,0,0.996,1,M1/M2,2.176,0.337,0.931,no_PS
OG0012262,ATXN1,bsA1/bsA,2.362,0.124,0.242,M1/M2,0,1,1,no_PS
OG0007556,EFNA2,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0008209,MYO10,bsA1/bsA,4.945,0.026,0.058,M1/M2,0.017,0.992,1,no_PS
OG0013420,LRRC10,bsA1/bsA,0.426,0.514,0.881,M1/M2,0,1,1,no_PS
OG0007765,EXTL3,bsA1/bsA,221.223,0,0,M1/M2,0,1,1,PS_fg
OG0010353,CCDC125,bsA1/bsA,0.793,0.373,0.654,M1/M2,12.436,0.002,0.013,no_PS
OG0005359,MC5R,bsA1/bsA,0,0.986,1,M1/M2,0.105,0.949,1,no_PS
OG0009059,NGDN,bsA1/bsA,3.093,0.079,0.16,M1/M2,0,1,1,no_PS
OG0014280,,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0014005,LMBR1L,bsA1/bsA,366.23,0,0,M1/M2,0.435,0.804,1,PS_fg
OG0012237,LRPPRC,bsA1/bsA,6.61,0.01,0.024,M1/M2,16.969,0,0.002,PS_bg
OG0010386,DLAT,bsA1/bsA,6.047,0.014,0.032,M1/M2,0,1,1,no_PS
OG0012355,ATP6V0A4,bsA1/bsA,0,1,1,M1/M2,2.821,0.244,0.739,no_PS
OG0007809,EIF2B4,bsA1/bsA,0,1,1,M1/M2,1.123,0.57,1,no_PS
OG0013366,PRDM6,bsA1/bsA,0,0.991,1,M1/M2,0,1,1,no_PS
OG0011673,ADAMTS10,bsA1/bsA,61.901,0,0,M1/M2,0,1,1,PS_fg
OG0006562,ARHGEF15,bsA1/bsA,0,0.999,1,M1/M2,0,1,1,no_PS
OG0010522,KCTD17,bsA1/bsA,0,1,1,M1/M2,0.457,0.796,1,no_PS
OG0011825,NR1D1,bsA1/bsA,334.906,0,0,M1/M2,1.639,0.441,1,PS_fg
OG0009998,TSSK3,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0010833,ATXN1L,bsA1/bsA,0.625,0.429,0.745,M1/M2,3.713,0.156,0.523,no_PS
OG0013521,SMIM8,bsA1/bsA,1.657,0.198,0.368,M1/M2,0,1,1,no_PS
OG0008439,F2RL2,bsA1/bsA,32.542,0,0,M1/M2,0.006,0.997,1,PS_fg
OG0007915,MCMDC2,bsA1/bsA,12.882,0,0.001,M1/M2,0.043,0.979,1,PS_fg
OG0006870,ANXA1,bsA1/bsA,0.145,0.703,1,M1/M2,30.976,0,0,PS_bg
OG0013117,KATNB1,bsA1/bsA,15.551,0,0,M1/M2,0,1,1,PS_fg
OG0009939,,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0013387,PIGU,bsA1/bsA,0,1,1,M1/M2,2.931,0.231,0.709,no_PS
OG0010844,,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0010952,BPHL,bsA1/bsA,0.461,0.497,0.854,M1/M2,1.242,0.537,1,no_PS
OG0008094,SDCBP,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0013757,SLC20A1,bsA1/bsA,,,,M1/M2,0,1,1,poor_fit
OG0008737,RAB9A,bsA1/bsA,0,1,1,M1/M2,0.099,0.952,1,no_PS
OG0008955,PRDM2,bsA1/bsA,15.818,0,0,M1/M2,0,1,1,PS_fg
OG0005791,PGAP2,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0010381,,bsA1/bsA,74.943,0,0,M1/M2,1.806,0.405,1,PS_fg
OG0009281,CEP120,bsA1/bsA,2.352,0.125,0.243,M1/M2,0.482,0.786,1,no_PS
OG0010902,TOMM6,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0010531,COL6A1,bsA1/bsA,0,1,1,M1/M2,13.851,0.001,0.007,PS_bg
OG0009451,ODAD2 ARMC4,bsA1/bsA,14.019,0,0.001,M1/M2,0.004,0.998,1,PS_fg
OG0010605,LTBP4,bsA1/bsA,44.3,0,0,M1/M2,0,1,1,PS_fg
OG0014029,CUNH11ORF68 C17H11ORF68,bsA1/bsA,0.541,0.462,0.798,M1/M2,0,1,1,no_PS
OG0011702,PABIR2 FAM122B,bsA1/bsA,0,1,1,M1/M2,0.001,1,1,no_PS
OG0007271,ATP5F1C,bsA1/bsA,0.484,0.487,0.837,M1/M2,0,1,1,no_PS
OG0012019,DCUN1D3,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0009320,TAF12,bsA1/bsA,2.757,0.097,0.193,M1/M2,0,1,1,no_PS
OG0007855,CCT6A,bsA1/bsA,0,0.999,1,M1/M2,0,1,1,no_PS
OG0014213,KIAA0895,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0011325,MLLT10,bsA1/bsA,5.034,0.025,0.055,M1/M2,0,1,1,no_PS
OG0012628,CUNH17ORF98 CZH17ORF98,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0011632,GTF2H1,bsA1/bsA,7.225,0.007,0.017,M1/M2,0,1,1,no_PS
OG0009826,DMRT3,bsA1/bsA,0,1,1,M1/M2,17.245,0,0.001,PS_bg
OG0010594,CUNH19ORF54 C12H19ORF54,bsA1/bsA,0,1,1,M1/M2,14.897,0.001,0.004,PS_bg
OG0010728,HHATL,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0011480,FAM102B,bsA1/bsA,207.362,0,0,M1/M2,0,1,1,PS_fg
OG0012059,RHBDF1,bsA1/bsA,0.54,0.462,0.799,M1/M2,0,1,1,no_PS
OG0011381,TAF5,bsA1/bsA,108.877,0,0,M1/M2,9.086,0.011,0.057,PS_fg
OG0008115,FYB2,bsA1/bsA,22.808,0,0,M1/M2,3.876,0.144,0.491,PS_fg
OG0006493,SATL1,bsA1/bsA,0,1,1,M1/M2,0.1,0.951,1,no_PS
OG0013716,ANGEL2,bsA1/bsA,27.245,0,0,M1/M2,0,1,1,PS_fg
OG0012639,CUNH1ORF216 C12H1ORF216,bsA1/bsA,0,1,1,M1/M2,6.303,0.043,0.185,no_PS
OG0011760,ASB7,bsA1/bsA,21.605,0,0,M1/M2,0.002,0.999,1,PS_fg
OG0012303,BBOX1,bsA1/bsA,2.327,0.127,0.247,M1/M2,0.653,0.722,1,no_PS
OG0013131,TMEM170A,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0014211,EPDR1,bsA1/bsA,52.987,0,0,M1/M2,0,1,1,PS_fg
OG0011408,,bsA1/bsA,2.067,0.151,0.288,M1/M2,7.208,0.027,0.127,no_PS
OG0006411,DISP2,bsA1/bsA,9.253,0.002,0.006,M1/M2,94.557,0,0,PS_fg_bg
OG0012365,,bsA1/bsA,70.287,0,0,M1/M2,0,1,1,PS_fg
OG0010532,COL6A2,bsA1/bsA,18.132,0,0,M1/M2,36.546,0,0,PS_fg_bg
OG0005830,MPV17L2,bsA1/bsA,0,1,1,M1/M2,6.791,0.034,0.152,no_PS
OG0013188,LRRC57,bsA1/bsA,0,1,1,M1/M2,0.03,0.985,1,no_PS
OG0012282,RND2,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0009328,TNNT3,bsA1/bsA,132.545,0,0,M1/M2,34.271,0,0,PS_fg_bg
OG0014198,BLVRA,bsA1/bsA,92.369,0,0,M1/M2,0.409,0.815,1,PS_fg
OG0009899,GSN,bsA1/bsA,2.606,0.106,0.21,M1/M2,0,1,1,no_PS
OG0011766,MRPS11,bsA1/bsA,85.39,0,0,M1/M2,0,1,1,PS_fg
OG0008202,CPEB1,bsA1/bsA,72.159,0,0,M1/M2,0,1,1,PS_fg
OG0010804,AGFG1,bsA1/bsA,0.005,0.943,1,M1/M2,0,1,1,no_PS
OG0012091,ZMYM4,bsA1/bsA,0,0.995,1,M1/M2,1.522,0.467,1,no_PS
OG0010296,SLC6A20,bsA1/bsA,0.368,0.544,0.929,M1/M2,3.649,0.161,0.534,no_PS
OG0008157,CDKN2C,bsA1/bsA,0.499,0.48,0.827,M1/M2,0.177,0.915,1,no_PS
OG0009242,GPR132,bsA1/bsA,0,1,1,M1/M2,56.172,0,0,PS_bg
OG0013227,TIMMDC1,bsA1/bsA,26.191,0,0,M1/M2,8.192,0.017,0.084,PS_fg
OG0013867,YARS2,bsA1/bsA,11.529,0.001,0.002,M1/M2,0,1,1,PS_fg
OG0009142,ZHX1,bsA1/bsA,114.044,0,0,M1/M2,2.222,0.329,0.918,PS_fg
OG0013015,SNRNP40,bsA1/bsA,55.359,0,0,M1/M2,0.001,0.999,1,PS_fg
OG0012076,BFAR,bsA1/bsA,3.018,0.082,0.167,M1/M2,0,1,1,no_PS
OG0006679,GAD2,bsA1/bsA,0,0.999,1,M1/M2,0,1,1,no_PS
OG0009030,KCTD18,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0013468,SGSM3,bsA1/bsA,0,0.998,1,M1/M2,0,1,1,no_PS
OG0010290,ZDHHC3,bsA1/bsA,172.941,0,0,M1/M2,9.545,0.008,0.046,PS_fg
OG0013113,ZNF319,bsA1/bsA,,,,M1/M2,15.325,0,0.004,poor_fit
OG0007259,AP4S1,bsA1/bsA,5.1,0.024,0.053,M1/M2,2.523,0.283,0.825,no_PS
OG0012134,MYL10,bsA1/bsA,7.357,0.007,0.016,M1/M2,0,1,1,no_PS
OG0012905,NUP54,bsA1/bsA,,,,M1/M2,0,1,1,poor_fit
OG0009862,PRKD3,bsA1/bsA,0,0.999,1,M1/M2,0,1,1,no_PS
OG0011905,FAM118A,bsA1/bsA,2.19,0.139,0.268,M1/M2,0.453,0.797,1,no_PS
OG0008355,PIK3C2A,bsA1/bsA,13.051,0,0.001,M1/M2,1.421,0.491,1,PS_fg
OG0009954,TSPAN12,bsA1/bsA,66.918,0,0,M1/M2,0.103,0.95,1,PS_fg
OG0012347,MKRN1,bsA1/bsA,2.028,0.154,0.295,M1/M2,5.545,0.063,0.253,no_PS
OG0009813,XRCC1,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0011162,,bsA1/bsA,17.658,0,0,M1/M2,1.692,0.429,1,PS_fg
OG0012816,SLC44A2,bsA1/bsA,0,1,1,M1/M2,110.657,0,0,PS_bg
OG0006404,EFEMP1,bsA1/bsA,26.275,0,0,M1/M2,0,1,1,PS_fg
OG0013304,PLOD2,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0007428,P2RX4,bsA1/bsA,0,1,1,M1/M2,3.304,0.192,0.612,no_PS
OG0009732,RGR,bsA1/bsA,65.823,0,0,M1/M2,7.669,0.022,0.104,PS_fg
OG0012328,SCD,bsA1/bsA,177.664,0,0,M1/M2,1.672,0.433,1,PS_fg
OG0010088,CDC7,bsA1/bsA,4.985,0.026,0.056,M1/M2,0,1,1,no_PS
OG0006290,ANGPTL5,bsA1/bsA,1.312,0.252,0.458,M1/M2,0.234,0.89,1,no_PS
OG0010030,TTI1,bsA1/bsA,27.97,0,0,M1/M2,0,1,1,PS_fg
OG0009985,BMP8A,bsA1/bsA,33.22,0,0,M1/M2,3.671,0.159,0.531,PS_fg
OG0008488,RBM5,bsA1/bsA,0.305,0.581,0.989,M1/M2,0,1,1,no_PS
OG0006972,DDA1,bsA1/bsA,0,1,1,M1/M2,1.259,0.533,1,no_PS
OG0006683,ACBD5,bsA1/bsA,77.585,0,0,M1/M2,17.198,0,0.002,PS_fg_bg
OG0009938,HORMAD2,bsA1/bsA,0.672,0.412,0.717,M1/M2,0.556,0.757,1,no_PS
OG0009390,ESPNL,bsA1/bsA,0,1,1,M1/M2,173.474,0,0,PS_bg
OG0005575,ID2,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0005535,HIBCH,bsA1/bsA,4.492,0.034,0.074,M1/M2,2.28,0.32,0.901,no_PS
OG0013944,IER3IP1,bsA1/bsA,15.351,0,0,M1/M2,0,1,1,PS_fg
OG0011099,TFAP2C,bsA1/bsA,4.755,0.029,0.064,M1/M2,0,1,1,no_PS
OG0013360,LOX,bsA1/bsA,1.58,0.209,0.386,M1/M2,0,1,1,no_PS
OG0011734,CCNB3,bsA1/bsA,6.369,0.012,0.027,M1/M2,1.284,0.526,1,no_PS
OG0005395,KLHDC1,bsA1/bsA,58.196,0,0,M1/M2,0,1,1,PS_fg
OG0013463,RPS19BP1,bsA1/bsA,0,1,1,M1/M2,0.88,0.644,1,no_PS
OG0008630,PSMA3,bsA1/bsA,31.179,0,0,M1/M2,0.001,0.999,1,PS_fg
OG0010859,ELAC2,bsA1/bsA,64.478,0,0,M1/M2,3.656,0.161,0.533,PS_fg
OG0011063,TJP2,bsA1/bsA,0.881,0.348,0.614,M1/M2,3.47,0.176,0.571,no_PS
OG0013315,UBE2E1,bsA1/bsA,,,,M1/M2,5.577,0.062,0.25,poor_fit
OG0011429,CNFN,bsA1/bsA,53.87,0,0,M1/M2,0,1,1,PS_fg
OG0009151,,bsA1/bsA,,,,M1/M2,0.028,0.986,1,poor_fit
OG0007987,SLC25A3,bsA1/bsA,78.04,0,0,M1/M2,0.214,0.898,1,PS_fg
OG0009216,,bsA1/bsA,0,1,1,M1/M2,9.221,0.01,0.053,no_PS
OG0009483,ECPAS,bsA1/bsA,6.563,0.01,0.024,M1/M2,0,1,1,no_PS
OG0008690,JMJD6,bsA1/bsA,3.483,0.062,0.129,M1/M2,203.073,0,0,PS_bg
OG0009767,MLLT6,bsA1/bsA,32.045,0,0,M1/M2,0.576,0.75,1,PS_fg
OG0010737,PRR16,bsA1/bsA,0.01,0.922,1,M1/M2,0.844,0.656,1,no_PS
OG0008178,,bsA1/bsA,0,1,1,M1/M2,6.733,0.035,0.156,no_PS
OG0006200,MMP25,bsA1/bsA,0,1,1,M1/M2,3.483,0.175,0.568,no_PS
OG0011442,PRR18,bsA1/bsA,0,1,1,M1/M2,0.005,0.998,1,no_PS
OG0006922,CLPTM1L,bsA1/bsA,186.594,0,0,M1/M2,2.806,0.246,0.742,PS_fg
OG0008631,KTN1,bsA1/bsA,3.325,0.068,0.141,M1/M2,11.77,0.003,0.018,no_PS
OG0010247,CUNH16ORF89 C14H16ORF89,bsA1/bsA,4.321,0.038,0.081,M1/M2,9.955,0.007,0.039,no_PS
OG0014247,BET1L,bsA1/bsA,2.827,0.093,0.186,M1/M2,0.28,0.87,1,no_PS
OG0007009,AMTN,bsA1/bsA,0,1,1,M1/M2,2.559,0.278,0.814,no_PS
OG0009840,METTL5,bsA1/bsA,78.128,0,0,M1/M2,0,1,1,PS_fg
OG0006239,HEMK1,bsA1/bsA,21.625,0,0,M1/M2,1.818,0.403,1,PS_fg
OG0011987,TBC1D24,bsA1/bsA,24.843,0,0,M1/M2,0,1,1,PS_fg
OG0007868,TMIGD1,bsA1/bsA,17.448,0,0,M1/M2,0.66,0.719,1,PS_fg
OG0013989,SLC44A5,bsA1/bsA,0,1,1,M1/M2,1.789,0.409,1,no_PS
OG0006397,CLHC1,bsA1/bsA,1.442,0.23,0.422,M1/M2,23.212,0,0,PS_bg
OG0008428,PQLC2L SLC66A1L,bsA1/bsA,2.358,0.125,0.242,M1/M2,0.014,0.993,1,no_PS
OG0007131,TOMM34,bsA1/bsA,0.082,0.775,1,M1/M2,1.386,0.5,1,no_PS
OG0013551,RPF1,bsA1/bsA,3.954,0.047,0.099,M1/M2,1.19,0.551,1,no_PS
OG0006590,CNGA4,bsA1/bsA,206.286,0,0,M1/M2,11.623,0.003,0.019,PS_fg
OG0008545,MOCS1,bsA1/bsA,7.28,0.007,0.017,M1/M2,0.287,0.866,1,no_PS
OG0006525,CCDC83,bsA1/bsA,111.523,0,0,M1/M2,20.056,0,0,PS_fg_bg
OG0012202,NUS1,bsA1/bsA,69.928,0,0,M1/M2,0.058,0.971,1,PS_fg
OG0009407,PCDH10,bsA1/bsA,,,,M1/M2,67.095,0,0,poor_fit
OG0013738,CCNE2,bsA1/bsA,0.398,0.528,0.904,M1/M2,1.861,0.394,1,no_PS
OG0007874,FSHR,bsA1/bsA,0,0.993,1,M1/M2,0,1,1,no_PS
OG0005888,AFAP1,bsA1/bsA,0,1,1,M1/M2,25.524,0,0,PS_bg
OG0007071,PREP,bsA1/bsA,46.31,0,0,M1/M2,0.025,0.988,1,PS_fg
OG0008575,VMP1,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0014273,MYL7,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0005588,CUNH2ORF50 C3H2ORF50,bsA1/bsA,9.113,0.003,0.006,M1/M2,0,1,1,PS_fg
OG0006734,PDK3,bsA1/bsA,17.799,0,0,M1/M2,0,1,1,PS_fg
OG0009099,COPZ1,bsA1/bsA,0,1,1,M1/M2,9.751,0.008,0.043,no_PS
OG0005344,APCDD1,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0012430,SORBS2,bsA1/bsA,24.41,0,0,M1/M2,8.817,0.012,0.064,PS_fg
OG0012194,CNOT8,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
